Datetime,Price,Volume
2020-09-07 10:33:10.920,5.055,2000
2020-09-07 11:07:52.530,5.05,5000
2020-09-07 11:08:13.120,5.06,100
2020-09-07 11:08:13.120,5.06,1000
2020-09-07 14:26:48.510,5.098,200
2020-09-07 14:26:48.510,5.098,1000
2020-09-07 14:26:48.510,5.098,2700
2020-09-07 14:26:48.510,5.098,919
2020-09-07 14:26:48.510,5.102,900
2020-09-07 14:26:48.510,5.12,129700
2020-09-07 14:26:48.510,5.12,74200
2020-09-07 14:26:50.050,5.12,381
2020-09-07 14:28:10.750,4.999,132800
2020-09-07 14:28:10.750,4.999,102486
2020-09-07 14:36:47.600,4.999,600
2020-09-07 14:37:03.220,4.999,1500
2020-09-07 14:37:41.260,4.999,614
