Datetime,Lastprice,Volume,Precloseprice,AvgPrice,Iopv,Netvalue,Bid[0],BidQty[0],Bid[1],BidQty[1],Bid[2],BidQty[2],Bid[3],BidQty[3],Bid[4],BidQty[4],Bid[5],BidQty[5],Bid[6],BidQty[6],Bid[7],BidQty[7],Bid[8],BidQty[8],Bid[9],BidQty[9],Ask[0],AskQty[0],Ask[1],AskQty[1],Ask[2],AskQty[2],Ask[3],AskQty[3],Ask[4],AskQty[4],Ask[5],AskQty[5],Ask[6],AskQty[6],Ask[7],AskQty[7],Ask[8],AskQty[8],Ask[9],AskQty[9]
2020-08-18 09:25:01.000,4.882,1689800.0,4.877,4.882,4.879,4.879,4.881,2000,4.88,512600,4.879,25900,4.878,89900,4.877,255600,4.876,400,4.875,5600,4.874,500,4.873,1900,4.872,2300,4.882,121100,4.883,99600,4.884,189200,4.885,38900,4.886,22100,4.887,82600,4.888,33700,4.889,59400,4.89,424600,4.891,209000
2020-08-18 09:30:00.030,4.881,4100.0,4.877,4.881998,4.88,4.879,4.88,512600,4.879,25900,4.878,89900,4.877,255600,4.876,400,4.875,5600,4.874,500,4.873,1900,4.872,2300,4.87,52000,4.881,295900,4.882,121100,4.883,99600,4.884,189200,4.885,38900,4.886,22100,4.887,82600,4.888,33700,4.889,59400,4.89,424600
2020-08-18 09:30:02.650,4.881,400400.0,4.877,4.881653,4.88,4.879,4.88,180200,4.879,25900,4.878,147600,4.877,323900,4.876,400,4.875,5600,4.874,500,4.873,1900,4.872,42600,4.87,575400,4.881,343200,4.882,432000,4.883,119900,4.884,526700,4.885,38900,4.886,33600,4.887,80600,4.888,27100,4.889,59400,4.89,433500
2020-08-18 09:30:05.730,4.88,1156800.0,4.877,4.881081,4.88,4.879,4.878,35700,4.877,336200,4.876,300500,4.875,65600,4.874,500,4.873,1900,4.872,42600,4.87,602500,4.869,50000,4.868,4000,4.88,45900,4.881,154300,4.882,184300,4.883,124900,4.884,525600,4.885,40000,4.886,37000,4.887,80600,4.888,19200,4.889,62700
2020-08-18 09:30:08.710,4.883,709100.0,4.877,4.881219000000001,4.88,4.879,4.882,9600,4.88,20500,4.879,10000,4.878,43700,4.877,346200,4.876,60700,4.875,306600,4.874,500,4.873,104200,4.872,42600,4.883,212300,4.884,525600,4.885,40300,4.886,37000,4.887,181600,4.888,18100,4.889,363200,4.89,331500,4.891,209100,4.892,33800
2020-08-18 09:30:11.770,4.88,187300.0,4.877,4.881183,4.88,4.879,4.88,99800,4.878,5000,4.877,320900,4.876,470500,4.875,16600,4.874,10500,4.873,14200,4.872,52600,4.871,40500,4.87,612600,4.884,494600,4.885,40600,4.886,37500,4.887,81600,4.888,18100,4.889,63400,4.89,343700,4.891,209400,4.892,40800,4.893,176700
2020-08-18 09:30:14.620,4.882,151800.0,4.877,4.881166,4.88,4.879,4.881,299500,4.878,5000,4.877,320900,4.876,70500,4.875,16600,4.874,10500,4.873,114200,4.872,52600,4.871,40500,4.87,612600,4.882,68200,4.884,404600,4.885,40600,4.886,37500,4.887,180100,4.888,18100,4.889,77900,4.89,243700,4.891,209400,4.892,30800
2020-08-18 09:30:17.590,4.884,657800.0,4.877,4.881394,4.879,4.879,4.881,309500,4.88,398600,4.878,5000,4.877,320400,4.876,70500,4.875,116600,4.874,10500,4.873,329200,4.872,52600,4.871,40600,4.884,114400,4.885,40600,4.886,37500,4.887,80100,4.888,18100,4.889,178400,4.89,543700,4.891,212400,4.892,30800,4.893,176700
2020-08-18 09:30:19.810,4.88,326100.0,4.877,4.881313,4.876,4.879,4.88,8400,4.878,5000,4.877,420400,4.876,70500,4.875,331600,4.874,325500,4.873,14200,4.872,52600,4.871,40600,4.87,612600,4.881,179800,4.882,20000,4.884,114400,4.885,40600,4.886,37500,4.887,380100,4.888,333100,4.889,378400,4.89,244700,4.891,206800
2020-08-18 09:30:22.630,4.88,92000.0,4.877,4.8813059999999995,4.876,4.879,4.88,1600,4.878,398900,4.877,320400,4.876,70500,4.875,16600,4.874,10500,4.873,429200,4.872,367600,4.871,40600,4.87,612600,4.881,100700,4.882,40100,4.883,6800,4.884,114400,4.885,340600,4.886,352500,4.887,480100,4.888,18100,4.889,78400,4.89,244700
2020-08-18 09:30:24.940,4.882,440800.0,4.877,4.881238,4.876,4.879,4.882,153800,4.879,3600,4.878,398900,4.877,320400,4.876,70500,4.875,21600,4.874,325500,4.873,429200,4.872,52600,4.871,40600,4.883,6800,4.884,115700,4.885,340600,4.886,37500,4.887,805100,4.888,18100,4.889,78400,4.89,244700,4.891,96800,4.892,30800
2020-08-18 09:30:28.470,4.878,61800.0,4.877,4.881241,4.876,4.879,4.878,51800,4.877,390400,4.876,13500,4.875,121600,4.874,10500,4.873,14200,4.872,367600,4.871,355600,4.87,612600,4.869,81200,4.883,6000,4.884,115700,4.885,655600,4.886,336500,4.887,90200,4.888,18600,4.889,178400,4.89,244700,4.891,96800,4.892,30800
2020-08-18 09:30:32.500,4.882,110300.0,4.877,4.881288,4.877,4.879,4.882,4600,4.88,300,4.879,5000,4.878,731000,4.877,390400,4.876,13500,4.875,336600,4.874,325500,4.873,14200,4.872,52600,4.884,27800,4.885,140600,4.886,336500,4.887,90700,4.888,333600,4.889,378400,4.89,244700,4.891,96800,4.892,30800,4.893,152700
2020-08-18 09:30:35.660,4.882,38200.0,4.877,4.881298,4.875,4.879,4.881,31300,4.88,300,4.879,5000,4.878,471000,4.877,330400,4.876,13500,4.875,121600,4.874,10500,4.873,14200,4.872,367600,4.882,7800,4.884,27800,4.885,355600,4.886,336500,4.887,90700,4.888,18600,4.889,178400,4.89,244700,4.891,96800,4.892,30800
2020-08-18 09:30:37.030,4.882,1700.0,4.877,4.881298,4.875,4.879,4.881,31300,4.88,300,4.879,5000,4.878,421000,4.877,330400,4.876,13500,4.875,515500,4.874,10500,4.873,14200,4.872,367600,4.882,11500,4.883,310000,4.884,32800,4.885,655600,4.886,36500,4.887,90700,4.888,18600,4.889,178400,4.89,144700,4.891,96800
2020-08-18 09:30:40.580,4.879,34500.0,4.877,4.881297,4.875,4.879,4.88,2500,4.879,4900,4.878,421000,4.877,330400,4.876,13500,4.875,121600,4.874,10500,4.873,329200,4.872,367600,4.871,40600,4.881,2700,4.882,14100,4.883,17300,4.884,42100,4.885,40600,4.886,351500,4.887,390700,4.888,18600,4.889,178400,4.89,138400
2020-08-18 09:30:44.200,4.882,26900.0,4.877,4.881296,4.874,4.879,4.88,4500,4.879,24900,4.878,421000,4.877,330400,4.876,13500,4.875,21600,4.874,10500,4.873,14200,4.872,467600,4.871,355600,4.882,201700,4.883,17300,4.884,67000,4.885,46200,4.886,136500,4.887,390700,4.888,18600,4.889,78400,4.89,138400,4.891,96800
2020-08-18 09:30:47.070,4.882,209300.0,4.877,4.881317,4.874,4.879,4.882,106700,4.881,38200,4.879,59600,4.878,421000,4.877,329800,4.876,407400,4.875,121600,4.874,10500,4.873,14200,4.872,367600,4.883,37300,4.884,367000,4.885,361200,4.886,36500,4.887,90700,4.888,18600,4.889,178400,4.89,139400,4.891,96800,4.892,30800
2020-08-18 09:30:50.370,4.881,145200.0,4.877,4.881327,4.873,4.879,4.881,2700,4.88,2000,4.879,62600,4.878,423200,4.877,329800,4.876,13500,4.875,215500,4.874,10500,4.873,14200,4.872,52600,4.882,693000,4.883,42300,4.884,67000,4.885,46200,4.886,36500,4.887,90700,4.888,18600,4.889,178200,4.89,139400,4.891,96800
2020-08-18 09:30:52.110,4.88,4900.0,4.877,4.8813260000000005,4.873,4.879,4.88,800,4.879,63600,4.878,428200,4.877,330800,4.876,13500,4.875,21600,4.874,110500,4.873,14200,4.872,52600,4.871,355600,4.881,7100,4.882,92000,4.883,42300,4.884,391400,4.885,46200,4.886,36500,4.887,90700,4.888,118600,4.889,78200,4.89,140400
2020-08-18 09:30:54.740,4.883,136500.0,4.877,4.881345,4.873,4.879,4.88,800,4.879,63600,4.878,429200,4.877,330800,4.876,13500,4.875,415500,4.874,10500,4.873,114200,4.872,52600,4.871,355600,4.882,7500,4.883,9900,4.884,687700,4.885,46200,4.886,336500,4.887,190700,4.888,18600,4.889,78200,4.89,140400,4.891,96800
2020-08-18 09:30:57.410,4.88,6100.0,4.877,4.881344,4.872,4.879,4.879,63600,4.878,129200,4.877,330800,4.876,113500,4.875,415500,4.874,10500,4.873,14200,4.872,52600,4.871,355600,4.87,927600,4.88,14500,4.881,75200,4.882,12900,4.883,9900,4.884,797400,4.885,46200,4.886,36500,4.887,90700,4.888,18600,4.889,88200
2020-08-18 09:31:01.930,4.88,36600.0,4.877,4.881334,4.871,4.879,4.88,45300,4.879,46600,4.878,129200,4.877,330800,4.876,13500,4.875,21600,4.874,10500,4.873,114200,4.872,367600,4.871,355600,4.881,88600,4.882,20400,4.883,309900,4.884,241200,4.885,361200,4.886,36500,4.887,190700,4.888,18100,4.889,88200,4.89,140400
2020-08-18 09:31:03.510,4.881,17600.0,4.877,4.881333000000001,4.871,4.879,4.88,46300,4.879,46600,4.878,129200,4.877,330800,4.876,13500,4.875,415500,4.874,20500,4.873,114200,4.872,52600,4.871,40600,4.881,72100,4.882,341900,4.883,627900,4.884,541200,4.885,46200,4.886,36500,4.887,190700,4.888,11100,4.889,88200,4.89,140400
2020-08-18 09:31:08.020,4.88,58000.0,4.877,4.881329,4.871,4.879,4.88,40700,4.879,46600,4.878,129200,4.877,330800,4.876,13500,4.875,21600,4.874,120500,4.873,14200,4.872,52600,4.871,40600,4.881,631500,4.882,89500,4.883,312900,4.884,241200,4.885,46200,4.886,41900,4.887,80700,4.888,111100,4.889,88200,4.89,140400
2020-08-18 09:31:09.570,4.879,42600.0,4.877,4.88132,4.871,4.879,4.879,44800,4.878,129200,4.877,328400,4.876,13500,4.875,21600,4.874,620500,4.873,114200,4.872,52600,4.871,40600,4.87,928100,4.88,986600,4.881,25800,4.882,385800,4.883,627900,4.884,1141200,4.885,40600,4.886,41900,4.887,180700,4.888,11100,4.889,88200
2020-08-18 09:31:12.690,4.88,3500.0,4.877,4.881319,4.871,4.879,4.879,44800,4.878,129200,4.877,328400,4.876,13500,4.875,21600,4.874,20500,4.873,614200,4.872,112200,4.871,40600,4.87,613100,4.88,985900,4.881,340800,4.882,89500,4.883,912900,4.884,241200,4.885,40600,4.886,141900,4.887,80700,4.888,11100,4.889,88200
2020-08-18 09:31:16.860,4.88,61000.0,4.877,4.8813,4.872,4.879,4.878,129200,4.877,328400,4.876,407400,4.875,621600,4.874,20500,4.873,114200,4.872,327200,4.871,355600,4.87,620100,4.869,86400,4.88,1982800,4.881,25800,4.882,93700,4.883,609200,4.884,841200,4.885,655600,4.886,41900,4.887,180700,4.888,11100,4.889,88200
2020-08-18 09:31:19.350,4.88,954300.0,4.877,4.8811230000000005,4.873,4.879,4.878,157100,4.877,368400,4.876,13500,4.875,336600,4.874,335500,4.873,114200,4.872,12200,4.871,40600,4.87,620100,4.869,86400,4.879,1000,4.88,1282500,4.881,25800,4.882,93700,4.883,312900,4.884,241200,4.885,40600,4.886,338200,4.887,180700,4.888,326100
2020-08-18 09:31:21.650,4.879,349300.0,4.877,4.8810720000000005,4.873,4.879,4.879,42900,4.878,531000,4.877,928400,4.876,13500,4.875,21600,4.874,335500,4.873,429200,4.872,12200,4.871,40600,4.87,622100,4.88,994900,4.881,25800,4.882,91400,4.883,12900,4.884,241200,4.885,40600,4.886,41900,4.887,495200,4.888,611100,4.889,88200
2020-08-18 09:31:25.500,4.88,122500.0,4.877,4.881054,4.874,4.879,4.879,21200,4.878,571000,4.877,328400,4.876,13500,4.875,621600,4.874,20500,4.873,330200,4.872,427200,4.871,40600,4.87,623100,4.88,1889400,4.881,15200,4.882,91400,4.883,12900,4.884,841200,4.885,336900,4.886,456900,4.887,80200,4.888,11100,4.889,88200
2020-08-18 09:31:28.100,4.879,65300.0,4.877,4.881044,4.874,4.879,4.879,40700,4.878,157100,4.877,422300,4.876,13500,4.875,21600,4.874,620500,4.873,430200,4.872,327200,4.871,40600,4.87,623100,4.88,1844400,4.881,15200,4.882,104400,4.883,718500,4.884,241200,4.885,40600,4.886,356900,4.887,180200,4.888,11100,4.889,88200
2020-08-18 09:31:32.010,4.88,1852100.0,4.877,4.880853,4.874,4.879,4.88,8200,4.879,60000,4.878,657100,4.877,328400,4.876,13500,4.875,336600,4.874,335500,4.873,15200,4.872,112200,4.871,40600,4.881,15200,4.882,98100,4.883,118500,4.884,241200,4.885,45600,4.886,141900,4.887,376500,4.888,926100,4.889,388200,4.89,140900
2020-08-18 09:31:33.860,4.881,74600.0,4.877,4.880857,4.877,4.879,4.88,13000,4.879,60000,4.878,449200,4.877,928400,4.876,13500,4.875,21600,4.874,335500,4.873,430200,4.872,12200,4.871,40600,4.882,63300,4.883,118500,4.884,241200,4.885,45600,4.886,41900,4.887,1395200,4.888,14200,4.889,88200,4.89,140900,4.891,96800
2020-08-18 09:31:37.700,4.882,70500.0,4.877,4.880863,4.877,4.879,4.881,41000,4.88,478400,4.879,100000,4.878,57100,4.877,929400,4.876,328500,4.875,336600,4.874,120500,4.873,15200,4.872,12200,4.882,1100,4.883,118500,4.884,241200,4.885,45600,4.886,641900,4.887,80200,4.888,114200,4.889,403200,4.89,115900,4.891,96800
2020-08-18 09:31:40.750,4.882,15000.0,4.877,4.880865,4.877,4.879,4.882,26500,4.881,432100,4.88,58100,4.879,665000,4.878,57600,4.877,644400,4.876,328500,4.875,121600,4.874,20500,4.873,15200,4.883,118500,4.884,241200,4.885,45600,4.886,41900,4.887,80200,4.888,614200,4.889,484500,4.89,430900,4.891,396800,4.892,20800
2020-08-18 09:31:43.600,4.882,136400.0,4.877,4.880891,4.878,4.879,4.882,402800,4.881,640000,4.88,69600,4.879,65000,4.878,57600,4.877,644400,4.876,328500,4.875,121600,4.874,20500,4.873,15200,4.884,241200,4.885,45600,4.886,41900,4.887,80200,4.888,14200,4.889,484500,4.89,1030900,4.891,396800,4.892,20800,4.893,138400
2020-08-18 09:31:46.220,4.884,243300.0,4.877,4.880962,4.878,4.879,4.884,57500,4.883,240000,4.882,458800,4.881,60000,4.88,675600,4.879,65000,4.878,372600,4.877,644400,4.876,13500,4.875,121600,4.885,44800,4.886,41900,4.887,80200,4.888,14200,4.889,788200,4.89,412200,4.891,411800,4.892,320800,4.893,138400,4.894,5300
2020-08-18 09:31:48.410,4.884,108700.0,4.877,4.881004,4.88,4.879,4.884,77800,4.883,652100,4.882,67100,4.881,1000,4.88,675600,4.879,380000,4.878,372600,4.877,429400,4.876,13500,4.875,21600,4.886,700,4.887,80200,4.888,14200,4.889,688200,4.89,115900,4.891,493100,4.892,335800,4.893,438400,4.894,5300,4.895,18400
2020-08-18 09:31:52.840,4.884,15300.0,4.877,4.881009,4.88,4.879,4.884,74700,4.883,740800,4.882,682100,4.881,1000,4.88,76200,4.879,380000,4.878,372600,4.877,429400,4.876,14000,4.875,27100,4.886,700,4.887,80200,4.888,14200,4.889,88200,4.89,115900,4.891,196800,4.892,935800,4.893,137400,4.894,5300,4.895,18400
2020-08-18 09:31:54.860,4.884,3000.0,4.877,4.88101,4.88,4.879,4.885,4000,4.884,31700,4.883,328700,4.882,36100,4.881,1000,4.88,71200,4.879,665000,4.878,57600,4.877,744400,4.876,329000,4.886,24900,4.887,80200,4.888,16200,4.889,88200,4.89,1327200,4.891,196800,4.892,320800,4.893,137400,4.894,5300,4.895,18400
2020-08-18 09:31:57.940,4.885,50400.0,4.877,4.881032,4.88,4.879,4.884,10400,4.883,720900,4.882,19100,4.881,601000,4.88,73200,4.879,65000,4.878,372600,4.877,744400,4.876,14000,4.875,22100,4.885,876500,4.887,81200,4.888,13100,4.889,88200,4.89,1012200,4.891,511800,4.892,320800,4.893,137400,4.894,5300,4.895,18400
2020-08-18 09:32:01.470,4.885,2100.0,4.877,4.881033,4.88,4.879,4.884,23600,4.883,720900,4.882,19100,4.881,601000,4.88,68200,4.879,65000,4.878,515700,4.877,644400,4.876,35400,4.875,22100,4.885,875400,4.887,81200,4.888,23100,4.889,93200,4.89,1012200,4.891,454800,4.892,420800,4.893,137400,4.894,5300,4.895,18400
2020-08-18 09:32:04.870,4.884,243100.0,4.877,4.881119,4.88,4.879,4.884,35700,4.883,128800,4.882,19600,4.881,993100,4.88,68200,4.879,65000,4.878,516700,4.877,644400,4.876,35400,4.875,22100,4.885,633100,4.887,81200,4.888,23100,4.889,94200,4.89,412000,4.891,1054800,4.892,420800,4.893,137400,4.894,5300,4.895,18400
2020-08-18 09:32:07.160,4.885,48200.0,4.877,4.881132,4.88,4.879,4.884,2500,4.883,145700,4.882,19600,4.881,601000,4.88,78200,4.879,380000,4.878,416700,4.877,429400,4.876,35400,4.875,22100,4.885,629200,4.887,91200,4.888,23100,4.889,94200,4.89,115700,4.891,1136100,4.892,335800,4.893,437400,4.894,5300,4.895,18400
2020-08-18 09:32:10.770,4.887,727000.0,4.877,4.8813830000000005,4.88,4.879,4.887,238100,4.885,966400,4.884,448000,4.883,167700,4.882,19600,4.881,1000,4.88,393200,4.879,380000,4.878,201700,4.877,329400,4.888,23100,4.889,95200,4.89,115700,4.891,139800,4.892,120800,4.893,453400,4.894,605300,4.895,18400,4.896,16200,4.897,691000
