Datetime,Lastprice,Volume,Precloseprice,AvgPrice,Iopv,Netvalue,Bid[0],BidQty[0],Bid[1],BidQty[1],Bid[2],BidQty[2],Bid[3],BidQty[3],Bid[4],BidQty[4],Bid[5],BidQty[5],Bid[6],BidQty[6],Bid[7],BidQty[7],Bid[8],BidQty[8],Bid[9],BidQty[9],Ask[0],AskQty[0],Ask[1],AskQty[1],Ask[2],AskQty[2],Ask[3],AskQty[3],Ask[4],AskQty[4],Ask[5],AskQty[5],Ask[6],AskQty[6],Ask[7],AskQty[7],Ask[8],AskQty[8],Ask[9],AskQty[9]
2020-09-02 11:00:15.150,5.164,6389.0,5.167,5.1628099999999995,5.167,5.208,5.164,33911,5.11,800,5.104,2600,5.103,5900,5.102,1200,5.101,2800,5.1,600,5.082,100,5.081,100,5.033,3000,5.167,500,5.168,2200,5.175,263,5.177,300,5.195,2697,5.2,26400,5.209,100,5.3,3815,5.321,100,5.38,100
2020-09-02 11:00:20.540,5.164,16000.0,5.167,5.163661,5.167,5.208,5.164,17911,5.11,800,5.102,1200,5.1,600,5.082,100,5.081,100,5.033,3000,5.015,1500,5.008,1000,5.001,2000,5.167,500,5.168,2200,5.175,263,5.177,300,5.195,2697,5.2,26400,5.209,100,5.3,3815,5.321,100,5.38,100
2020-09-02 11:01:26.770,5.168,1900.0,5.167,5.163933999999999,5.168,5.208,5.168,48300,5.11,800,5.107,4000,5.105,100,5.102,1200,5.1,600,5.082,100,5.081,100,5.033,3000,5.015,1500,5.175,263,5.177,300,5.195,2697,5.2,26400,5.209,100,5.3,3815,5.321,100,5.38,100,5.551,1000,0.0,0
2020-09-02 11:01:28.770,5.168,11400.0,5.167,5.165233,5.168,5.208,5.168,36900,5.11,800,5.107,4000,5.102,1200,5.1,600,5.082,100,5.081,100,5.033,3000,5.015,1500,5.008,1000,5.175,263,5.177,300,5.195,2697,5.2,26400,5.209,100,5.3,3815,5.321,100,5.38,100,5.551,1000,0.0,0
2020-09-02 11:01:46.930,5.168,1200.0,5.167,5.165323,5.165,5.208,5.11,800,5.102,1200,5.1,600,5.082,100,5.081,100,5.033,3000,5.015,1500,5.008,1000,5.001,2000,4.986,600,5.175,263,5.177,300,5.195,2697,5.2,26400,5.209,100,5.3,3815,5.321,100,5.38,100,5.551,1000,0.0,0
2020-09-02 13:15:22.960,5.174,300.0,5.167,5.165393,5.207,5.208,5.174,700,5.135,2400,5.132,1000,5.125,500,5.1,1800,5.082,100,5.081,100,5.08,500,5.033,3000,5.015,1500,5.175,10263,5.195,2697,5.2,26400,5.209,100,5.3,3815,5.321,100,5.38,100,5.551,1000,0.0,0,0.0,0
2020-09-02 13:15:26.290,5.175,10200.0,5.167,5.167461,5.207,5.208,5.174,700,5.135,2400,5.132,1000,5.125,500,5.1,1800,5.082,100,5.081,100,5.08,500,5.033,3000,5.015,1500,5.175,63,5.195,2697,5.2,26400,5.209,100,5.3,3815,5.321,100,5.38,100,5.551,1000,0.0,0,0.0,0
2020-09-02 14:04:12.730,5.175,63.0,5.167,5.167471,5.222,5.208,5.175,37,5.149,600,5.137,2800,5.136,3900,5.135,900,5.125,500,5.102,1600,5.1,600,5.082,100,5.033,3000,5.195,2697,5.2,26400,5.209,100,5.3,3815,5.321,100,5.38,100,5.551,1000,5.684,500,0.0,0,0.0,0
2020-09-02 14:09:19.830,5.175,37.0,5.167,5.167477,5.222,5.208,5.15,1000,5.137,2800,5.136,1100,5.135,900,5.125,500,5.102,1600,5.1,600,5.082,100,5.033,3000,5.015,1500,5.174,363,5.195,2697,5.2,26400,5.209,100,5.3,3815,5.321,100,5.38,100,5.551,1000,5.684,500,0.0,0
2020-09-02 14:16:09.650,5.174,363.0,5.167,5.1675260000000005,5.233,5.208,5.174,37,5.161,9100,5.159,1500,5.136,1100,5.125,500,5.102,1600,5.1,600,5.082,100,5.033,3000,5.015,1500,5.195,2697,5.2,26400,5.209,100,5.3,3815,5.321,100,5.38,100,5.551,1000,5.684,500,0.0,0,0.0,0
2020-09-02 14:16:09.860,5.195,2600.0,5.167,5.1689419999999995,5.233,5.208,5.174,37,5.161,9100,5.159,1500,5.136,1100,5.125,500,5.102,1600,5.1,600,5.082,100,5.033,3000,5.015,1500,5.195,97,5.2,26400,5.209,100,5.3,3815,5.321,100,5.38,100,5.551,1000,5.684,500,0.0,0,0.0,0
2020-09-02 14:32:45.000,5.14,69084.0,5.167,5.1532089999999995,5.222,5.208,5.14,61016,5.136,1100,5.125,500,5.104,200000,5.102,1600,5.1,600,5.082,100,5.033,3000,5.015,1500,5.001,2000,5.195,10297,5.199,1700,5.2,26400,5.209,100,5.26,1200,5.3,3815,5.321,100,5.38,100,5.551,1000,5.684,500
2020-09-02 14:47:16.570,5.195,200.0,5.167,5.153279,5.213,5.208,5.148,3300,5.147,13000,5.14,61016,5.136,1100,5.125,500,5.102,1600,5.1,600,5.082,100,5.033,3000,5.001,2000,5.195,10097,5.199,1700,5.2,26400,5.209,100,5.26,1200,5.3,3815,5.321,100,5.38,100,5.551,1000,5.684,500
