ExChangeId,ChannelNo,SeqNo,SecurityID,Trade2_Order1,TradeDate,UpdateTime,Price,Volume,TrdMoney,OrdSide,OrdType,TrdBSFlag,TrdBuyNo,TrdSellNo
1,1,8892,510360,2,20201009,92500360,1.555000,100,155.500000,-,-,N,127204,62735
1,1,28354,510360,2,20201009,93001040,1.556000,5000,7780.000000,-,-,S,140822,146426
1,1,28355,510360,2,20201009,93001040,1.555000,5000,7775.000000,-,-,S,127204,146426
1,1,35016,510360,2,20201009,93002290,1.565000,700,1095.500000,-,-,B,165474,106836
1,1,37787,510360,2,20201009,93002740,1.560000,1000,1560.000000,-,-,S,151098,173175
1,1,37788,510360,2,20201009,93002740,1.560000,12000,18720.000000,-,-,S,155358,173175
1,1,44326,510360,2,20201009,93004040,1.565000,500,782.500000,-,-,B,192062,106836
1,1,45739,510360,2,20201009,93004570,1.565000,1000,1565.000000,-,-,B,196356,106836
1,1,47152,510360,2,20201009,93004900,1.565000,2800,4382.000000,-,-,B,200300,106836
1,1,56317,510360,2,20201009,93010780,1.572000,100,157.200000,-,-,S,214273,221486
1,1,65011,510360,2,20201009,93019960,1.572000,100,157.200000,-,-,S,214273,237360
1,1,65275,510360,2,20201009,93020500,1.572000,12600,19807.200000,-,-,S,214273,237771
1,1,65941,510360,2,20201009,93021390,1.572000,30800,48417.600000,-,-,S,214273,239071
1,1,73368,510360,2,20201009,93029590,1.572000,2000,3144.000000,-,-,S,214273,250638
1,1,73436,510360,2,20201009,93029700,1.572000,300,471.600000,-,-,S,214273,250771
1,1,75625,510360,2,20201009,93032440,1.572000,4500,7074.000000,-,-,S,214273,254522
1,1,77368,510360,2,20201009,93034920,1.572000,4500,7074.000000,-,-,S,214273,257769
1,1,79539,510360,2,20201009,93037500,1.572000,145100,228097.200000,-,-,S,214273,261326
1,1,79540,510360,2,20201009,93037500,1.572000,100,157.200000,-,-,S,222127,261326
1,1,79541,510360,2,20201009,93037500,1.572000,100,157.200000,-,-,S,237623,261326
1,1,79542,510360,2,20201009,93037500,1.572000,9000,14148.000000,-,-,S,240071,261326
1,1,101267,510360,2,20201009,93106400,1.569000,2000,3138.000000,-,-,S,283001,299170
1,1,113445,510360,2,20201009,93121200,1.571000,42500,66767.500000,-,-,B,319408,292005
1,1,113446,510360,2,20201009,93121200,1.571000,3900,6126.900000,-,-,B,319408,292723
1,1,115025,510360,2,20201009,93123840,1.571000,58500,91903.500000,-,-,S,319408,322139
1,1,115506,510360,2,20201009,93124260,1.570000,1500,2355.000000,-,-,S,300378,323025
1,1,126414,510360,2,20201009,93141440,1.571000,12600,19794.600000,-,-,S,329892,341644
1,1,132103,510360,2,20201009,93151060,1.571000,1000,1571.000000,-,-,S,329892,351472
1,1,146018,510360,2,20201009,93213610,1.572000,500,786.000000,-,-,B,375568,273368
1,1,166202,510360,2,20201009,93246590,1.572000,3000,4716.000000,-,-,B,409456,273368
1,1,166203,510360,2,20201009,93246590,1.572000,100,157.200000,-,-,B,409456,403712
1,1,166204,510360,2,20201009,93246590,1.572000,200,314.400000,-,-,B,409456,404176
1,1,166340,510360,2,20201009,93246960,1.572000,3000,4716.000000,-,-,B,409688,404176
1,1,167704,510360,2,20201009,93249320,1.572000,4200,6602.400000,-,-,B,412096,404176
1,1,168423,510360,2,20201009,93250780,1.572000,3200,5030.400000,-,-,B,413299,404176
1,1,169256,510360,2,20201009,93252420,1.572000,3300,5187.600000,-,-,B,414937,404176
1,1,170011,510360,2,20201009,93253990,1.572000,2500,3930.000000,-,-,B,416157,404176
1,1,181495,510360,2,20201009,93309450,1.572000,1700,2672.400000,-,-,B,434125,404176
1,1,182385,510360,2,20201009,93310960,1.572000,1400,2200.800000,-,-,B,435544,404176
1,1,183503,510360,2,20201009,93312670,1.572000,1500,2358.000000,-,-,B,437469,404176
1,1,211180,510360,2,20201009,93404880,1.570000,5000,7850.000000,-,-,S,413532,484890
1,1,214837,510360,2,20201009,93412390,1.570000,15000,23550.000000,-,-,S,413532,490989
1,1,277170,510360,2,20201009,93616910,1.568000,10000,15680.000000,-,-,S,561689,596099
1,1,281864,510360,2,20201009,93625640,1.570000,7900,12403.000000,-,-,B,603524,490989
1,1,282605,510360,2,20201009,93626990,1.570000,7100,11147.000000,-,-,B,604587,490989
1,1,282606,510360,2,20201009,93626990,1.570000,900,1413.000000,-,-,B,604587,492560
1,1,283529,510360,2,20201009,93628590,1.570000,6100,9577.000000,-,-,B,606066,492560
1,1,283670,510360,2,20201009,93628840,1.569000,15000,23535.000000,-,-,S,604382,606256
1,1,284541,510360,2,20201009,93630120,1.570000,6000,9420.000000,-,-,B,607604,492560
1,1,285548,510360,2,20201009,93631730,1.570000,4600,7222.000000,-,-,B,608941,492560
1,1,286632,510360,2,20201009,93633430,1.570000,2400,3768.000000,-,-,B,610529,492560
1,1,286633,510360,2,20201009,93633430,1.570000,400,628.000000,-,-,B,610529,507687
1,1,286634,510360,2,20201009,93633430,1.570000,1700,2669.000000,-,-,B,610529,541506
1,1,287424,510360,2,20201009,93635050,1.570000,3400,5338.000000,-,-,B,611717,541506
1,1,288350,510360,2,20201009,93636630,1.570000,3300,5181.000000,-,-,B,613160,541506
1,1,289065,510360,2,20201009,93638300,1.570000,1600,2512.000000,-,-,B,614336,541506
1,1,289066,510360,2,20201009,93638300,1.570000,1400,2198.000000,-,-,B,614336,554033
1,1,289945,510360,2,20201009,93639830,1.570000,2900,4553.000000,-,-,B,615909,554033
1,1,290434,510360,2,20201009,93641450,1.570000,2300,3611.000000,-,-,B,616884,554033
1,1,291234,510360,2,20201009,93643100,1.570000,2200,3454.000000,-,-,B,618232,554033
1,1,291748,510360,2,20201009,93644610,1.570000,1500,2355.000000,-,-,B,619091,554033
1,1,292676,510360,2,20201009,93646230,1.570000,1500,2355.000000,-,-,B,620722,554033
1,1,293351,510360,2,20201009,93647830,1.570000,1100,1727.000000,-,-,B,621883,554033
1,1,294182,510360,2,20201009,93649500,1.570000,700,1099.000000,-,-,B,623300,554033
1,1,294766,510360,2,20201009,93651020,1.570000,700,1099.000000,-,-,B,624383,554033
1,1,305268,510360,2,20201009,93709880,1.570000,600,942.000000,-,-,B,640695,554033
1,1,305879,510360,2,20201009,93711320,1.570000,600,942.000000,-,-,B,641580,554033
1,1,306706,510360,2,20201009,93712820,1.570000,600,942.000000,-,-,B,642996,554033
1,1,309878,510360,2,20201009,93720050,1.569000,4900,7688.100000,-,-,S,609006,648356
1,1,310833,510360,2,20201009,93721520,1.570000,3000,4710.000000,-,-,B,649665,554033
1,1,315093,510360,2,20201009,93731250,1.571000,2300,3613.300000,-,-,B,656687,527313
1,1,315713,510360,2,20201009,93732840,1.571000,2300,3613.300000,-,-,B,657688,527313
1,1,319124,510360,2,20201009,93740150,1.571000,3100,4870.100000,-,-,B,663179,527313
1,1,319125,510360,2,20201009,93740150,1.571000,2300,3613.300000,-,-,B,663180,527313
1,1,319126,510360,2,20201009,93740150,1.571000,800,1256.800000,-,-,B,663180,549705
1,1,319832,510360,2,20201009,93741740,1.571000,3200,5027.200000,-,-,B,664236,549705
1,1,319833,510360,2,20201009,93741740,1.571000,2000,3142.000000,-,-,B,664237,549705
1,1,319834,510360,2,20201009,93741740,1.571000,1200,1885.200000,-,-,B,664237,613813
1,1,320644,510360,2,20201009,93743310,1.571000,1800,2827.800000,-,-,B,665500,613813
1,1,320645,510360,2,20201009,93743310,1.571000,1300,2042.300000,-,-,B,665500,656681
1,1,320668,510360,2,20201009,93743390,1.571000,3100,4870.100000,-,-,B,665544,656681
