ExChangeId,ChannelNo,SeqNo,SecurityID,Trade2_Order1,TradeDate,UpdateTime,Price,Volume,TrdMoney,OrdSide,OrdType,TrdBSFlag,TrdBuyNo,TrdSellNo
1,1,10956,510100,2,20201027,92500150,1.259000,100,125.900000,-,-,N,100618,7467
1,1,10957,510100,2,20201027,92500150,1.259000,100,125.900000,-,-,N,100618,19470
1,1,10958,510100,2,20201027,92500150,1.259000,300,377.700000,-,-,N,122094,19470
1,1,37516,510100,2,20201027,93026570,1.257000,100,125.700000,-,-,S,129750,210497
1,1,67377,510100,2,20201027,93132550,1.257000,2000,2514.000000,-,-,S,268015,268064
1,1,73898,510100,2,20201027,93147620,1.257000,100,125.700000,-,-,S,278395,280574
1,1,73899,510100,2,20201027,93147620,1.257000,250000,314250.000000,-,-,S,279605,280574
1,1,76133,510100,2,20201027,93152730,1.256000,100,125.600000,-,-,S,129566,285142
1,1,76134,510100,2,20201027,93152730,1.256000,100,125.600000,-,-,S,275807,285142
1,1,76230,510100,2,20201027,93153070,1.256000,250000,314000.000000,-,-,B,285370,285142
1,1,82109,510100,2,20201027,93207180,1.256000,170000,213520.000000,-,-,S,289396,297380
1,1,88304,510100,2,20201027,93221470,1.256000,500,628.000000,-,-,S,289641,309661
1,1,99561,510100,2,20201027,93249710,1.255000,1000,1255.000000,-,-,S,7850,331158
1,1,99562,510100,2,20201027,93249710,1.255000,5000,6275.000000,-,-,S,71229,331158
1,1,99563,510100,2,20201027,93249710,1.255000,2000,2510.000000,-,-,S,146440,331158
1,1,99564,510100,2,20201027,93249710,1.255000,1000,1255.000000,-,-,S,159834,331158
1,1,99565,510100,2,20201027,93249710,1.255000,100,125.500000,-,-,S,319435,331158
1,1,103894,510100,2,20201027,93300960,1.254000,800,1003.200000,-,-,S,246034,339184
1,1,103895,510100,2,20201027,93300960,1.254000,9000,11286.000000,-,-,S,299578,339184
1,1,172818,510100,2,20201027,93618990,1.255000,100,125.500000,-,-,B,472616,331158
1,1,185580,510100,2,20201027,93656250,1.254000,3300,4138.200000,-,-,S,397351,497209
1,1,185688,510100,2,20201027,93656550,1.254000,2600,3260.400000,-,-,S,397351,497360
1,1,186138,510100,2,20201027,93657520,1.254000,3300,4138.200000,-,-,S,397351,498102
1,1,186436,510100,2,20201027,93658350,1.254000,2600,3260.400000,-,-,S,397351,498700
1,1,188466,510100,2,20201027,93704520,1.254000,8200,10282.800000,-,-,S,397351,502747
1,1,188467,510100,2,20201027,93704520,1.254000,200,250.800000,-,-,S,409317,502747
1,1,188468,510100,2,20201027,93704520,1.254000,100,125.400000,-,-,S,455022,502747
1,1,188469,510100,2,20201027,93704520,1.254000,400,501.600000,-,-,S,461206,502747
1,1,188492,510100,2,20201027,93704610,1.253000,1800,2255.400000,-,-,S,269983,502812
1,1,188597,510100,2,20201027,93704890,1.253000,1400,1754.200000,-,-,S,269983,502959
1,1,210594,510100,2,20201027,93818620,1.255000,1000,1255.000000,-,-,B,545520,331158
1,1,223540,510100,2,20201027,93901400,1.255000,100,125.500000,-,-,B,569603,331158
1,1,225822,510100,2,20201027,93909340,1.255000,100,125.500000,-,-,B,573741,331158
1,1,230708,510100,2,20201027,93926760,1.256000,9500,11932.000000,-,-,B,582794,309661
1,1,236915,510100,2,20201027,93949510,1.255000,100,125.500000,-,-,S,583142,594643
1,1,264721,510100,2,20201027,94115590,1.258000,1000,1258.000000,-,-,B,644969,621981
1,1,339805,510100,2,20201027,94545950,1.257000,100,125.700000,-,-,B,782651,772696
1,1,344242,510100,2,20201027,94601570,1.257000,100,125.700000,-,-,B,791144,772696
1,1,345811,510100,2,20201027,94607520,1.257000,400,502.800000,-,-,B,794177,772696
1,1,351738,510100,2,20201027,94629930,1.257000,18600,23380.200000,-,-,B,805085,772696
1,1,351739,510100,2,20201027,94629930,1.257000,3600,4525.200000,-,-,B,805085,798430
1,1,365236,510100,2,20201027,94718240,1.257000,400,502.800000,-,-,B,828697,799039
1,1,365237,510100,2,20201027,94718240,1.257000,500,628.500000,-,-,B,828697,811436
1,1,433751,510100,2,20201027,95143270,1.258000,10000,12580.000000,-,-,B,954053,694301
1,1,434754,510100,2,20201027,95147410,1.258000,91000,114478.000000,-,-,S,954053,955848
1,1,457666,510100,2,20201027,95317830,1.257000,600,754.200000,-,-,S,869110,997519
1,1,458246,510100,2,20201027,95319730,1.258000,17200,21637.600000,-,-,B,998397,998151
1,1,459512,510100,2,20201027,95325350,1.257000,250100,314375.700000,-,-,S,1000142,1000659
1,1,465020,510100,2,20201027,95350690,1.256000,400,502.400000,-,-,S,923596,1010675
1,1,475720,510100,2,20201027,95434630,1.259000,1000,1259.000000,-,-,B,1029349,19470
1,1,478431,510100,2,20201027,95445790,1.258000,250100,314625.800000,-,-,S,1026843,1034086
1,1,478508,510100,2,20201027,95446170,1.258000,250100,314625.800000,-,-,B,1034274,1034086
1,1,487357,510100,2,20201027,95516300,1.259000,1100,1384.900000,-,-,B,1049427,19470
1,1,487358,510100,2,20201027,95516300,1.259000,16100,20269.900000,-,-,B,1049427,1048036
1,1,548157,510100,2,20201027,95947860,1.256000,2600,3265.600000,-,-,S,923596,1157344
1,1,548158,510100,2,20201027,95947860,1.256000,100,125.600000,-,-,S,1094252,1157344
1,1,548159,510100,2,20201027,95947860,1.256000,200,251.200000,-,-,S,1130741,1157344
1,1,575501,510100,2,20201027,100112790,1.256000,1000,1256.000000,-,-,S,1195994,1199176
1,1,593237,510100,2,20201027,100232850,1.257000,10000,12570.000000,-,-,B,1229281,1216065
1,1,607595,510100,2,20201027,100349370,1.256000,100,125.600000,-,-,S,1248056,1254753
1,1,614019,510100,2,20201027,100421300,1.256000,5000,6280.000000,-,-,S,1261966,1265301
1,1,640404,510100,2,20201027,100627870,1.255000,100,125.500000,-,-,S,764914,1306209
1,1,640405,510100,2,20201027,100627870,1.255000,1000,1255.000000,-,-,S,1194398,1306209
1,1,640406,510100,2,20201027,100627870,1.255000,600,753.000000,-,-,S,1223791,1306209
1,1,651702,510100,2,20201027,100715090,1.254000,300,376.200000,-,-,S,1096128,1322315
1,1,652206,510100,2,20201027,100716980,1.255000,5000,6275.000000,-,-,B,1323139,1307691
1,1,657873,510100,2,20201027,100741590,1.255000,500,627.500000,-,-,B,1332245,1307691
1,1,661868,510100,2,20201027,100803790,1.255000,4000,5020.000000,-,-,B,1339336,1307691
