Datetime,Lastprice,Volume,Precloseprice,AvgPrice,Iopv,Netvalue,Bid[0],BidQty[0],Bid[1],BidQty[1],Bid[2],BidQty[2],Bid[3],BidQty[3],Bid[4],BidQty[4],Bid[5],BidQty[5],Bid[6],BidQty[6],Bid[7],BidQty[7],Bid[8],BidQty[8],Bid[9],BidQty[9],Ask[0],AskQty[0],Ask[1],AskQty[1],Ask[2],AskQty[2],Ask[3],AskQty[3],Ask[4],AskQty[4],Ask[5],AskQty[5],Ask[6],AskQty[6],Ask[7],AskQty[7],Ask[8],AskQty[8],Ask[9],AskQty[9]
2020-10-27 09:53:16.600,4.97,2200.0,4.901,4.97,4.93,4.933,4.9,5200,4.86,500,4.835,700,4.82,600,4.8,1000,4.769,600,4.703,2000,4.571,2000,0.0,0,0.0,0,4.97,600,4.986,1000,5.161,1900,5.165,700,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2020-10-27 10:18:28.080,4.913,500.0,4.901,4.959444,4.911,4.933,4.91,1000,4.905,200,4.87,700,4.86,500,4.835,700,4.8,1000,4.769,600,4.703,2000,4.665,100,4.571,2000,4.913,4500,4.969,5000,4.97,5200,5.087,1900,5.09,2100,5.161,1900,5.165,17800,0.0,0,0.0,0,0.0,0
2020-10-27 10:20:23.100,4.91,1000.0,4.901,4.9460809999999995,4.907,4.933,4.905,200,4.87,700,4.86,500,4.835,700,4.8,1000,4.769,600,4.703,2000,4.665,100,4.571,2000,0.0,0,4.91,100,4.967,1900,4.969,5000,4.97,5200,5.087,1900,5.09,2100,5.165,17800,0.0,0,0.0,0,0.0,0
2020-10-27 10:53:20.080,4.905,100.0,4.901,4.945,4.92,4.933,4.87,700,4.86,500,4.835,2200,4.807,1900,4.8,1000,4.769,600,4.703,2000,4.665,100,4.571,2000,0.0,0,4.905,5000,4.967,1900,4.969,5000,4.97,5200,5.087,1900,5.09,2100,5.165,17800,0.0,0,0.0,0,0.0,0
2020-10-27 13:19:28.580,4.905,300.0,4.901,4.942073000000001,4.925,4.933,4.876,3200,4.871,1600,4.87,4100,4.869,19800,4.86,2500,4.835,2200,4.807,1900,4.8,1000,4.769,600,4.703,2000,4.905,4700,4.967,1900,4.969,5000,4.97,5200,5.087,1900,5.09,2100,5.165,17800,0.0,0,0.0,0,0.0,0
2020-10-27 13:21:38.720,4.905,2400.0,4.901,4.928385,4.929,4.933,4.877,9900,4.871,4600,4.87,2700,4.86,2500,4.835,2200,4.807,1900,4.8,1000,4.769,600,4.703,2000,4.665,100,4.905,2300,4.967,1900,4.969,5000,4.97,5200,5.087,1900,5.09,2100,5.165,17800,0.0,0,0.0,0,0.0,0
2020-10-27 13:23:23.660,4.905,2300.0,4.901,4.922273000000001,4.932,4.933,4.879,14500,4.87,2700,4.86,2500,4.835,2200,4.807,1900,4.8,1000,4.769,600,4.703,2000,4.665,100,4.571,2000,4.905,86000,4.967,1900,4.969,5000,4.97,5200,5.087,1900,5.09,2100,5.165,17800,0.0,0,0.0,0,0.0,0
2020-10-27 13:33:23.900,4.905,2200.0,4.901,4.918818,4.934,4.933,4.904,5000,4.9,7500,4.875,1400,4.873,2500,4.87,2700,4.86,2500,4.835,2200,4.807,1900,4.8,1000,4.769,600,4.905,83800,4.967,1900,4.969,5000,4.97,4200,5.087,1900,5.09,2100,5.165,17800,0.0,0,0.0,0,0.0,0
2020-10-27 13:42:08.890,4.905,3000.0,4.901,4.915857,4.937,4.933,4.904,5000,4.9,7500,4.875,1400,4.873,2500,4.87,2700,4.86,2500,4.835,2200,4.807,1900,4.8,1000,4.769,600,4.905,80800,4.967,2900,4.969,5000,4.97,4200,5.087,1900,5.09,2100,5.165,17800,0.0,0,0.0,0,0.0,0
2020-10-27 13:46:32.960,4.905,3500.0,4.901,4.913686,4.94,4.933,4.904,5000,4.9,7500,4.875,1400,4.873,2500,4.87,2700,4.86,2500,4.835,2200,4.807,1900,4.8,1000,4.769,600,4.905,77300,4.967,2900,4.969,5000,4.97,4200,5.087,1900,5.09,2100,5.165,17800,0.0,0,0.0,0,0.0,0
2020-10-27 14:15:33.600,4.905,3400.0,4.901,4.912273,4.943,4.933,4.904,5000,4.9,7500,4.875,1400,4.873,2500,4.87,2700,4.86,2500,4.835,2200,4.807,1900,4.8,401000,4.769,600,4.905,73900,4.967,2900,4.969,5000,4.97,4200,5.087,1900,5.09,2100,5.165,17800,0.0,0,0.0,0,0.0,0
2020-10-27 14:17:50.550,4.905,73900.0,4.901,4.906603,4.945,4.933,4.904,5000,4.9,7500,4.875,1400,4.873,2500,4.87,2700,4.86,2500,4.835,2200,4.807,1900,4.8,401000,4.769,600,4.967,2900,4.969,5000,4.97,4200,5.087,1900,5.09,2100,5.165,17800,0.0,0,0.0,0,0.0,0,0.0,0
