Datetime,Lastprice,Volume,Precloseprice,AvgPrice,Iopv,Netvalue,Bid[0],BidQty[0],Bid[1],BidQty[1],Bid[2],BidQty[2],Bid[3],BidQty[3],Bid[4],BidQty[4],Bid[5],BidQty[5],Bid[6],BidQty[6],Bid[7],BidQty[7],Bid[8],BidQty[8],Bid[9],BidQty[9],Ask[0],AskQty[0],Ask[1],AskQty[1],Ask[2],AskQty[2],Ask[3],AskQty[3],Ask[4],AskQty[4],Ask[5],AskQty[5],Ask[6],AskQty[6],Ask[7],AskQty[7],Ask[8],AskQty[8],Ask[9],AskQty[9]
2020-11-05 09:31:21.020,5.165,3000.0,5.029,5.164167,5.105,5.051,4.949,8900,4.948,1100,4.94,500,4.934,700,4.867,3000,4.855,2000,4.835,700,4.55,3000,0.0,0,0.0,0,5.165,200,5.228,600,5.46,1500,5.5,500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2020-11-05 09:39:55.910,5.03,300.0,5.029,5.1519699999999995,5.106,5.051,5.03,1400,5.026,7900,4.976,800,4.975,700,4.934,700,4.867,3000,4.855,2000,4.835,700,4.711,100,4.55,3000,5.161,3000,5.165,3700,5.2,700,5.201,100,5.228,600,5.233,4700,5.266,10000,5.5,500,0.0,0,0.0,0
2020-11-05 09:40:04.350,5.161,300.0,5.029,5.152722,5.106,5.051,5.032,2900,5.031,3200,5.028,2200,4.976,1000,4.975,700,4.934,700,4.867,3000,4.855,2000,4.835,700,4.711,100,5.161,2700,5.165,3700,5.2,700,5.201,100,5.228,600,5.233,4700,5.266,10000,5.5,500,0.0,0,0.0,0
2020-11-05 09:41:11.630,5.042,300.0,5.029,5.144205,5.107,5.051,5.042,3600,5.041,12000,4.979,3900,4.975,700,4.934,700,4.867,3000,4.855,2000,4.835,700,4.711,100,4.55,3000,5.161,2700,5.165,3700,5.2,700,5.201,100,5.228,600,5.233,4700,5.266,10000,5.5,500,0.0,0,0.0,0
2020-11-05 09:50:05.200,5.155,300.0,5.029,5.144976,5.115,5.051,5.06,700,5.058,800,5.053,9300,5.046,400,5.041,4900,4.934,700,4.867,3000,4.855,2000,4.835,700,4.711,100,5.155,1200,5.16,2000,5.161,1200,5.165,3700,5.2,700,5.201,100,5.218,1000,5.228,600,5.233,4700,5.26,17100
2020-11-05 10:01:32.170,5.145,1000.0,5.029,5.144981,5.105,5.051,5.06,400,4.95,800,4.934,700,4.867,3000,4.855,2000,4.835,700,4.711,100,4.55,3000,0.0,0,0.0,0,5.145,200,5.15,1000,5.155,500,5.16,2000,5.161,1200,5.165,3200,5.198,1200,5.2,700,5.201,100,5.218,1000
2020-11-05 10:09:27.380,5.06,900.0,5.029,5.132443,5.102,5.051,4.951,3900,4.95,800,4.934,700,4.867,3000,4.855,2000,4.835,700,4.711,100,4.55,3000,0.0,0,0.0,0,5.06,800,5.145,500,5.15,1000,5.155,500,5.158,1000,5.16,2000,5.161,1200,5.165,3200,5.198,1200,5.2,700
2020-11-05 10:09:34.410,5.06,300.0,5.029,5.129047,5.102,5.051,4.952,300,4.951,3900,4.95,800,4.934,700,4.867,3000,4.855,2000,4.835,700,4.711,100,4.55,3000,0.0,0,5.06,500,5.145,500,5.15,1000,5.155,500,5.158,1000,5.16,2000,5.161,1200,5.165,3200,5.198,1200,5.2,700
2020-11-05 10:17:46.860,5.059,900.0,5.029,5.120411,5.097,5.051,5.059,4000,5.017,400,5.002,500,4.98,700,4.964,500,4.95,800,4.934,700,4.867,3000,4.855,2000,4.835,700,5.06,500,5.145,500,5.15,1000,5.155,500,5.158,1000,5.16,2000,5.161,1200,5.165,3200,5.198,1200,5.2,700
2020-11-05 10:17:48.560,5.06,200.0,5.029,5.1188,5.098,5.051,5.059,4000,5.017,400,5.002,500,4.98,700,4.964,500,4.95,800,4.934,700,4.867,3000,4.855,2000,4.835,700,5.06,300,5.145,500,5.15,1000,5.155,500,5.158,1000,5.16,2000,5.161,1200,5.165,3200,5.198,1200,5.2,700
2020-11-05 10:23:23.020,5.06,300.0,5.029,5.116537999999999,5.101,5.051,5.059,4000,5.002,3200,4.95,800,4.934,700,4.867,3000,4.855,2000,4.835,700,4.711,100,4.55,3000,0.0,0,5.145,500,5.15,1000,5.155,500,5.158,1000,5.16,2000,5.161,1200,5.165,3200,5.198,1200,5.2,700,5.201,100
2020-11-05 10:50:27.140,5.14,200.0,5.029,5.117125,5.109,5.051,5.14,4800,5.059,4000,5.046,100,5.044,11800,5.002,500,4.95,800,4.934,700,4.867,3000,4.855,2000,4.835,700,5.144,1000,5.145,300,5.15,1000,5.155,500,5.158,1000,5.16,2000,5.161,1200,5.165,3200,5.198,1200,5.2,700
2020-11-05 10:50:27.350,5.14,4800.0,5.029,5.125703,5.109,5.051,5.059,4000,5.046,100,5.044,11800,5.002,500,4.95,800,4.934,700,4.867,3000,4.855,2000,4.835,700,4.711,100,5.144,1000,5.145,300,5.15,1000,5.155,500,5.158,1000,5.16,2000,5.161,1200,5.165,3200,5.198,1200,5.2,700
2020-11-05 10:53:01.410,5.059,200.0,5.029,5.124676999999999,5.099,5.051,5.059,3800,5.002,500,4.95,800,4.934,700,4.867,3000,4.855,2000,4.835,700,4.711,100,4.55,3000,0.0,0,5.144,1000,5.145,300,5.15,1200,5.155,500,5.158,1000,5.16,2000,5.161,1200,5.165,3200,5.198,1200,5.2,700
2020-11-05 10:53:14.610,5.144,1000.0,5.029,5.126057,5.099,5.051,5.059,3800,5.002,500,4.95,800,4.934,700,4.867,3000,4.855,2000,4.835,700,4.711,100,4.55,3000,0.0,0,5.145,300,5.15,1200,5.155,500,5.158,1000,5.16,2000,5.161,1200,5.165,3200,5.198,1200,5.2,700,5.201,100
2020-11-05 13:00:02.280,5.06,100.0,5.029,5.125589,5.119,5.051,5.059,3800,5.054,16300,5.002,500,4.95,800,4.867,3000,4.855,2000,4.835,700,4.8,24600,4.711,100,4.55,3000,5.06,4900,5.144,900,5.145,2300,5.15,1300,5.155,500,5.158,1000,5.16,2000,5.161,1200,5.165,3200,5.198,1200
2020-11-05 13:00:02.860,5.06,4900.0,5.029,5.108674,5.119,5.051,5.059,5300,5.054,16300,5.002,500,4.95,800,4.867,3000,4.855,2000,4.835,700,4.8,24600,4.711,100,4.55,3000,5.144,900,5.145,2300,5.15,1300,5.155,500,5.158,1000,5.16,2000,5.161,1200,5.165,3200,5.198,1200,5.2,1700
2020-11-05 13:20:08.560,5.1,500.0,5.029,5.1084510000000005,5.134,5.051,5.1,19500,5.062,10700,5.059,5300,5.002,500,4.95,800,4.855,2000,4.835,700,4.8,24600,4.711,100,4.55,3000,5.142,600,5.144,900,5.145,2300,5.15,1200,5.151,100,5.158,1000,5.16,2000,5.161,1200,5.165,3200,5.198,1200
2020-11-05 13:59:57.150,5.11,100.0,5.029,5.108459,5.138,5.051,5.11,33400,5.1,19500,5.059,5300,5.002,500,4.855,2000,4.835,700,4.8,24600,4.711,100,4.55,3000,0.0,0,5.142,600,5.144,900,5.145,2300,5.15,1200,5.151,100,5.158,1000,5.16,2000,5.161,1200,5.165,3300,5.198,1200
