ExChangeId,ChannelNo,SeqNo,SecurityID,Trade2_Order1,TradeDate,UpdateTime,Price,Volume,TrdMoney,OrdSide,OrdType,TrdBSFlag,TrdBuyNo,TrdSellNo
1,6,282579,510370,2,20201029,93612180,0.982000,100,98.200000,-,-,S,590854,626801
1,6,282845,510370,2,20201029,93612460,0.982000,49900,49001.800000,-,-,B,627130,626801
1,6,316687,510370,2,20201029,93718870,0.980000,3900,3822.000000,-,-,S,545593,685739
1,6,316688,510370,2,20201029,93718870,0.980000,20000,19600.000000,-,-,S,616042,685739
1,6,316689,510370,2,20201029,93718870,0.980000,20000,19600.000000,-,-,S,637744,685739
1,6,316772,510370,2,20201029,93719180,0.980000,105100,102998.000000,-,-,B,685975,685739
1,6,366436,510370,2,20201029,93920990,0.998000,2000,1996.000000,-,-,B,774283,763010
1,6,519349,510370,2,20201029,94609650,0.985000,41000,40385.000000,-,-,B,1041785,1018535
1,6,585039,510370,2,20201029,94937210,0.996000,5000,4980.000000,-,-,B,1157742,784478
1,6,682382,510370,2,20201029,95448270,0.992000,8000,7936.000000,-,-,B,1319167,1190417
1,6,822096,510370,2,20201029,100218360,0.990000,5000,4950.000000,-,-,B,1547870,1540465
1,6,853516,510370,2,20201029,100413570,0.990000,100000,99000.000000,-,-,S,1547870,1601743
1,6,869104,510370,2,20201029,100522530,0.990000,90000,89100.000000,-,-,S,1547870,1630476
1,6,869545,510370,2,20201029,100524870,0.990000,200,198.000000,-,-,S,1547870,1631280
1,6,1070934,510370,2,20201029,102019490,0.992000,10000,9920.000000,-,-,S,1885503,1976448
1,6,1072139,510370,2,20201029,102023160,0.992000,85000,84320.000000,-,-,S,1885503,1978309
1,6,1075077,510370,2,20201029,102033650,0.992000,5000,4960.000000,-,-,S,1885503,1982954
1,6,1181351,510370,2,20201029,102922940,0.993000,3100,3078.300000,-,-,S,1988662,2155003
1,6,1181352,510370,2,20201029,102922940,0.990000,1900,1881.000000,-,-,S,1822005,2155003
1,6,1281022,510370,2,20201029,103651880,0.992000,20000,19840.000000,-,-,S,2317157,2317500
1,6,1282280,510370,2,20201029,103658810,0.992000,60000,59520.000000,-,-,S,2317157,2319653
1,6,1292666,510370,2,20201029,103756910,0.994000,300,298.200000,-,-,B,2337896,2279794
1,6,1317796,510370,2,20201029,104012780,0.995000,250000,248750.000000,-,-,S,2345222,2381295
1,6,1327964,510370,2,20201029,104052010,0.998000,600,598.800000,-,-,B,2397521,763010
1,6,1337107,510370,2,20201029,104139100,0.996000,2800,2788.800000,-,-,S,2382551,2412752
1,6,1338639,510370,2,20201029,104147970,0.996000,6200,6175.200000,-,-,B,2415506,2412752
1,6,1371461,510370,2,20201029,104521910,0.996000,3800,3784.800000,-,-,S,2415506,2475135
1,6,1372447,510370,2,20201029,104529700,0.996000,16200,16135.200000,-,-,B,2477068,2475135
1,6,1419995,510370,2,20201029,105033990,0.998000,47400,47305.200000,-,-,B,2559266,763010
1,6,1419996,510370,2,20201029,105033990,0.998000,40000,39920.000000,-,-,B,2559266,1039179
1,6,1419997,510370,2,20201029,105033990,0.998000,12600,12574.800000,-,-,B,2559266,1254580
1,6,1456520,510370,2,20201029,105421510,0.997000,500000,498500.000000,-,-,S,2565154,2624873
1,6,1467325,510370,2,20201029,105527890,0.998000,7400,7385.200000,-,-,B,2642970,1254580
1,6,1499841,510370,2,20201029,105853400,1.000000,14000,14000.000000,-,-,B,2698641,156904
