Datetime,Price,Volume
2020-08-20 09:30:28.890,5.08,100
2020-08-20 09:45:38.570,5.075,100
2020-08-20 09:46:24.410,5.07,100
2020-08-20 10:12:39.230,5.067,100
2020-08-20 11:19:57.350,5.068,1500
2020-08-20 13:03:52.080,5.065,100
2020-08-20 13:36:00.040,5.06,100
2020-08-20 14:03:18.110,5.11,200
2020-08-20 14:03:18.110,5.11,100
2020-08-20 14:10:11.420,5.055,100
2020-08-20 14:10:11.420,5.049,100
2020-08-20 14:10:11.420,5.044,100
2020-08-20 14:10:11.420,5.039,100
2020-08-20 14:10:11.420,5.034,100
2020-08-20 14:10:11.420,5.029,100
2020-08-20 14:10:11.420,5.024,100
2020-08-20 14:10:11.420,5.018,100
2020-08-20 14:10:11.420,5.013,100
2020-08-20 14:10:11.420,5.01,100
2020-08-20 14:11:00.910,5.02,118900
2020-08-20 14:11:03.660,5.02,1100
2020-08-20 14:11:58.890,5.02,400
2020-08-20 14:11:58.890,5.02,96800
2020-08-20 14:12:01.010,5.02,2800
2020-08-20 14:29:49.810,5.02,100
2020-08-20 14:47:01.600,5.023,343
2020-08-20 14:52:05.100,5.063,100
