Datetime,Price,Volume
2020-10-28 09:33:50.000,2.97,500
2020-10-28 09:33:55.010,2.968,1700
2020-10-28 09:35:14.730,2.967,100
2020-10-28 09:38:03.630,2.976,4900
2020-10-28 09:43:36.040,2.973,14500
2020-10-28 09:44:02.600,2.973,5600
2020-10-28 09:46:25.920,2.97,27600
2020-10-28 10:00:22.120,2.968,200
2020-10-28 10:00:23.680,2.968,300
2020-10-28 10:05:53.470,2.961,300
2020-10-28 10:06:47.010,2.961,5300
2020-10-28 10:06:47.010,2.957,1700
2020-10-28 10:08:23.130,2.956,4500
2020-10-28 10:20:22.190,2.961,1000
2020-10-28 10:54:58.610,2.965,3500
2020-10-28 11:17:14.550,2.964,3000
2020-10-28 11:17:24.900,2.964,7000
2020-10-28 11:18:31.170,2.97,2200
2020-10-28 11:21:03.870,2.967,300
2020-10-28 13:02:10.630,2.976,20000
2020-10-28 13:02:32.230,2.979,500
2020-10-28 13:02:32.590,2.979,500
2020-10-28 13:02:34.090,2.979,500
2020-10-28 13:02:34.120,2.979,500
2020-10-28 13:02:35.620,2.978,3900
2020-10-28 13:02:36.040,2.978,12300
2020-10-28 13:02:55.720,2.98,1200
2020-10-28 13:02:55.840,2.98,1500
2020-10-28 13:02:56.210,2.98,1200
2020-10-28 13:02:57.440,2.98,1500
2020-10-28 13:02:59.480,2.98,800
2020-10-28 13:03:01.830,2.98,800
2020-10-28 13:03:01.920,2.98,5000
2020-10-28 13:03:03.880,2.978,700
2020-10-28 13:03:31.940,2.979,12500
2020-10-28 13:03:33.860,2.979,12500
2020-10-28 13:03:41.240,2.978,5300
2020-10-28 13:05:40.440,2.976,200
2020-10-28 13:11:03.560,2.98,2900
2020-10-28 13:11:22.750,2.98,700
2020-10-28 13:11:23.210,2.98,700
2020-10-28 13:11:23.610,2.98,700
2020-10-28 13:11:24.010,2.98,700
2020-10-28 13:11:37.740,2.98,400
2020-10-28 13:11:38.170,2.98,400
2020-10-28 13:12:52.770,2.98,300
2020-10-28 13:12:53.210,2.98,300
2020-10-28 13:12:53.610,2.98,300
2020-10-28 13:12:54.020,2.98,300
2020-10-28 13:12:54.540,2.98,300
2020-10-28 13:12:55.030,2.98,300
2020-10-28 13:12:55.520,2.98,300
2020-10-28 13:19:06.650,2.98,1400
2020-10-28 13:19:06.650,2.98,300
2020-10-28 13:34:02.910,2.981,5800
2020-10-28 13:34:02.910,2.981,3500
2020-10-28 13:34:02.910,2.981,500
2020-10-28 13:34:25.810,2.981,1000
2020-10-28 13:34:47.680,2.982,100
2020-10-28 13:41:10.320,2.985,200
2020-10-28 13:43:12.330,2.985,3500
2020-10-28 13:49:21.530,2.985,2300
2020-10-28 13:49:29.080,2.985,200
2020-10-28 13:49:29.420,2.985,200
2020-10-28 13:49:29.830,2.985,200
2020-10-28 13:49:30.280,2.985,200
2020-10-28 13:49:30.720,2.985,200
2020-10-28 13:49:31.150,2.985,200
2020-10-28 13:49:31.520,2.985,200
2020-10-28 13:49:31.930,2.985,100
2020-10-28 13:49:32.390,2.985,100
2020-10-28 13:49:32.860,2.985,100
2020-10-28 13:49:33.240,2.985,100
2020-10-28 13:49:33.640,2.985,100
2020-10-28 13:50:38.990,2.985,800
2020-10-28 13:53:43.500,2.98,200
2020-10-28 13:53:43.500,2.98,11800
2020-10-28 13:57:45.450,2.98,3600
2020-10-28 14:01:19.780,2.987,3300
2020-10-28 14:09:17.190,2.987,10000
2020-10-28 14:09:17.190,2.987,6000
2020-10-28 14:10:02.200,2.988,1500
2020-10-28 14:10:06.980,2.987,200
2020-10-28 14:15:34.540,2.993,300
2020-10-28 14:22:26.250,2.99,26000
2020-10-28 14:30:04.490,2.993,100
2020-10-28 14:41:14.120,2.984,2400
2020-10-28 14:46:35.160,2.985,6600
2020-10-28 14:52:00.110,2.98,3000
2020-10-28 14:55:45.550,2.985,3300
2020-10-28 14:57:17.630,2.981,23200
2020-10-28 14:58:23.330,2.98,3700
2020-10-28 14:59:32.040,2.967,200
2020-10-28 14:59:35.080,2.967,500
2020-10-28 14:59:35.470,2.967,400
2020-10-28 14:59:35.870,2.967,500
2020-10-28 14:59:36.280,2.967,400
2020-10-28 14:59:36.720,2.967,500
2020-10-28 14:59:37.140,2.967,400
2020-10-28 14:59:37.540,2.967,500
2020-10-28 14:59:37.930,2.967,500
2020-10-28 14:59:38.490,2.967,100
2020-10-28 14:59:38.950,2.967,100
2020-10-28 14:59:39.380,2.967,100
2020-10-28 14:59:39.760,2.967,200
2020-10-28 14:59:40.160,2.967,100
2020-10-28 14:59:40.580,2.967,100
2020-10-28 14:59:49.390,2.967,600
