Datetime,Price,Volume
2020-10-14 09:30:01.980,1.324,100
2020-10-14 09:30:05.580,1.322,200000
2020-10-14 09:30:36.100,1.32,24800
2020-10-14 09:30:37.540,1.32,24900
2020-10-14 09:30:39.170,1.32,21500
2020-10-14 09:30:40.470,1.32,11300
2020-10-14 09:30:40.690,1.32,21500
2020-10-14 09:30:40.990,1.32,11300
2020-10-14 09:30:41.420,1.32,11300
2020-10-14 09:30:41.960,1.32,11300
2020-10-14 09:30:42.310,1.32,16100
2020-10-14 09:30:42.550,1.32,11300
2020-10-14 09:30:43.130,1.32,11300
2020-10-14 09:30:43.600,1.32,11300
2020-10-14 09:30:43.920,1.32,2300
2020-10-14 09:30:43.950,1.32,9800
2020-10-14 09:30:44.370,1.325,1000
2020-10-14 09:30:44.560,1.325,1300
2020-10-14 09:30:44.560,1.323,6200
2020-10-14 09:32:20.570,1.32,92400
2020-10-14 09:32:52.120,1.321,200000
2020-10-14 09:34:34.640,1.322,800
2020-10-14 09:34:36.190,1.322,700
2020-10-14 09:35:59.800,1.321,2300
2020-10-14 09:36:13.770,1.32,50000
2020-10-14 09:40:51.790,1.32,6400
2020-10-14 09:40:51.790,1.32,11600
2020-10-14 09:45:12.130,1.319,2000
2020-10-14 09:46:18.550,1.318,13100
2020-10-14 09:47:21.940,1.319,100
2020-10-14 09:51:10.170,1.318,8700
2020-10-14 09:51:51.210,1.319,17500
2020-10-14 10:06:06.840,1.319,7500
2020-10-14 10:08:07.640,1.318,400
2020-10-14 10:08:27.380,1.318,5900
2020-10-14 10:14:09.280,1.315,300
2020-10-14 10:14:09.280,1.315,23000
2020-10-14 10:14:09.280,1.315,1700
2020-10-14 10:19:40.170,1.318,2000
2020-10-14 10:23:46.970,1.318,200
2020-10-14 10:27:22.540,1.318,7500
2020-10-14 10:28:17.120,1.317,30000
2020-10-14 10:32:10.600,1.318,200
2020-10-14 10:34:07.900,1.32,7500
2020-10-14 10:48:51.430,1.318,11100
