Datetime,Price,Volume
2020-10-14 09:38:40.870,3.03,400
2020-10-14 09:40:37.870,3.025,100
2020-10-14 09:43:25.590,3.023,2800
2020-10-14 09:44:13.510,3.023,3100
2020-10-14 09:44:16.600,3.023,17000
2020-10-14 09:50:36.190,3.022,6000
2020-10-14 09:51:49.660,3.027,100
2020-10-14 09:54:07.040,3.025,200
2020-10-14 09:56:31.670,3.025,2800
2020-10-14 09:57:12.690,3.027,20500
2020-10-14 09:57:12.690,3.027,10000
2020-10-14 09:57:12.690,3.027,500
2020-10-14 09:57:56.140,3.034,200
2020-10-14 09:58:43.080,3.031,100
2020-10-14 09:59:53.940,3.026,700
2020-10-14 10:00:00.440,3.032,100
2020-10-14 10:00:03.030,3.032,300
2020-10-14 10:00:21.770,3.03,400
2020-10-14 10:05:06.540,3.026,100
2020-10-14 10:05:08.000,3.021,300
2020-10-14 10:05:08.000,3.021,300
2020-10-14 10:05:15.810,3.021,2700
2020-10-14 10:05:16.880,3.027,300
2020-10-14 10:05:16.880,3.027,300
2020-10-14 10:05:59.300,3.02,1200
2020-10-14 10:06:39.980,3.021,1400
2020-10-14 10:09:59.460,3.02,1000
2020-10-14 10:09:59.460,3.02,100
2020-10-14 10:11:28.030,3.02,700
2020-10-14 10:15:10.970,3.02,400
2020-10-14 10:15:10.970,3.02,600
2020-10-14 10:17:56.040,3.02,1800
2020-10-14 10:17:56.040,3.02,1800
2020-10-14 10:17:57.530,3.02,1700
2020-10-14 10:17:57.530,3.02,1700
2020-10-14 10:17:58.930,3.02,700
2020-10-14 10:17:59.140,3.02,700
2020-10-14 10:18:00.500,3.02,800
2020-10-14 10:18:00.820,3.02,800
2020-10-14 10:18:02.250,3.02,400
2020-10-14 10:18:02.280,3.02,400
2020-10-14 10:18:03.090,3.02,3200
2020-10-14 10:18:07.990,3.026,400
2020-10-14 10:23:34.930,3.023,800
2020-10-14 10:23:35.000,3.023,800
2020-10-14 10:23:36.890,3.023,800
2020-10-14 10:23:37.040,3.023,700
2020-10-14 10:25:45.530,3.02,100
2020-10-14 10:25:45.530,3.02,500
2020-10-14 10:26:48.180,3.023,3400
2020-10-14 10:27:34.380,3.028,200
2020-10-14 10:29:26.220,3.027,1100
2020-10-14 10:31:49.650,3.022,31200
2020-10-14 10:39:12.840,3.029,500
2020-10-14 10:42:20.900,3.021,100
2020-10-14 10:43:20.530,3.021,5300
2020-10-14 10:52:33.980,3.021,400
2020-10-14 13:00:00.670,3.02,100
2020-10-14 13:03:39.600,3.02,200
2020-10-14 13:08:14.790,3.024,100
2020-10-14 13:10:35.340,3.02,5100
2020-10-14 13:10:35.340,3.02,300
2020-10-14 13:11:34.860,3.02,100
2020-10-14 13:12:49.750,3.018,5000
2020-10-14 13:17:07.050,3.018,100
2020-10-14 13:18:29.270,3.012,3000
2020-10-14 13:18:29.270,3.012,8300
2020-10-14 13:19:47.970,3.011,300
2020-10-14 13:21:14.880,3.018,100
2020-10-14 13:24:40.950,3.013,100
2020-10-14 13:28:32.370,3.012,700
2020-10-14 13:30:36.330,3.012,100
2020-10-14 13:34:09.440,3.012,800
2020-10-14 13:34:27.120,3.013,10000
2020-10-14 13:38:43.740,3.013,500
2020-10-14 13:46:17.280,3.018,400
2020-10-14 13:46:17.720,3.018,300
2020-10-14 13:46:17.770,3.018,400
2020-10-14 13:46:18.270,3.018,300
2020-10-14 13:46:18.710,3.018,300
2020-10-14 13:46:19.140,3.018,400
2020-10-14 13:46:19.380,3.018,300
2020-10-14 13:46:19.530,3.018,300
2020-10-14 13:46:43.020,3.018,800
2020-10-14 14:16:23.450,3.02,5000
2020-10-14 14:16:24.090,3.024,500
2020-10-14 14:16:24.350,3.024,500
2020-10-14 14:16:24.350,3.024,100
2020-10-14 14:23:33.060,3.019,500
2020-10-14 14:23:33.130,3.019,600
2020-10-14 14:23:34.890,3.019,500
2020-10-14 14:23:35.380,3.019,3400
2020-10-14 14:23:35.380,3.024,500
2020-10-14 14:23:36.640,3.024,400
2020-10-14 14:30:04.120,3.022,100
2020-10-14 14:44:35.210,3.022,1300
2020-10-14 14:44:35.640,3.022,1200
2020-10-14 14:44:36.000,3.022,1500
2020-10-14 14:44:36.030,3.022,1100
2020-10-14 14:44:36.590,3.022,1100
2020-10-14 14:44:37.080,3.022,1200
2020-10-14 14:44:37.540,3.022,1100
2020-10-14 14:44:37.730,3.022,1400
2020-10-14 14:44:37.890,3.022,100
2020-10-14 14:44:37.890,3.022,1000
2020-10-14 14:44:38.320,3.022,1200
2020-10-14 14:44:38.770,3.022,200
2020-10-14 14:44:39.110,3.022,200
2020-10-14 14:44:39.620,3.022,300
2020-10-14 14:44:39.920,3.022,200
2020-10-14 14:44:40.390,3.022,200
2020-10-14 14:44:40.910,3.022,200
2020-10-14 14:44:41.270,3.023,300
2020-10-14 14:54:01.710,3.023,400
