Datetime,Lastprice,Volume,Precloseprice,AvgPrice,Iopv,Netvalue,Bid[0],BidQty[0],Bid[1],BidQty[1],Bid[2],BidQty[2],Bid[3],BidQty[3],Bid[4],BidQty[4],Bid[5],BidQty[5],Bid[6],BidQty[6],Bid[7],BidQty[7],Bid[8],BidQty[8],Bid[9],BidQty[9],Ask[0],AskQty[0],Ask[1],AskQty[1],Ask[2],AskQty[2],Ask[3],AskQty[3],Ask[4],AskQty[4],Ask[5],AskQty[5],Ask[6],AskQty[6],Ask[7],AskQty[7],Ask[8],AskQty[8],Ask[9],AskQty[9]
2020-11-06 09:25:00.370,3.031,4500.0,3.031,3.031,3.031,3.031,3.027,100,3.016,100,3.0,1000,2.955,1100,2.851,200,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.031,1500,3.046,100,3.089,200,3.102,5000,3.18,3000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2020-11-06 09:30:01.030,3.031,1500.0,3.031,3.031,3.042,3.031,3.031,2900,3.027,100,3.016,100,3.0,1000,2.955,1100,2.851,200,0.0,0,0.0,0,0.0,0,0.0,0,3.046,100,3.089,200,3.102,5000,3.18,3000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2020-11-06 09:30:01.940,3.031,1500.0,3.031,3.031,3.042,3.031,3.031,1400,3.028,5000,3.027,100,3.02,100,3.016,100,3.0,1000,2.955,1100,2.851,200,0.0,0,0.0,0,3.045,5100,3.046,100,3.089,200,3.102,5000,3.18,3000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2020-11-06 09:32:26.450,3.031,5000.0,3.031,3.031,3.031,3.031,3.024,100000,3.023,100000,3.02,100,3.0,1000,2.955,1100,2.885,100,2.851,200,0.0,0,0.0,0,0.0,0,3.03,95000,3.031,100000,3.039,5100,3.04,10000,3.089,200,3.102,5000,3.15,2000,3.18,3000,3.334,3300,0.0,0
2020-11-06 09:36:36.350,3.025,400.0,3.031,3.030814,3.024,3.031,3.021,100000,3.02,100100,3.0,1000,2.955,1100,2.885,100,2.851,200,2.728,1400,0.0,0,0.0,0,0.0,0,3.025,4700,3.027,100000,3.028,100000,3.04,10000,3.089,200,3.102,5000,3.147,1000,3.15,2000,3.18,3000,3.334,3300
2020-11-06 09:37:53.340,3.024,13000.0,3.031,3.0273939999999997,3.023,3.031,3.02,100,3.018,100000,3.017,100000,3.0,1000,2.955,1100,2.885,100,2.851,200,2.728,1400,0.0,0,0.0,0,3.024,97000,3.025,104700,3.04,10000,3.089,200,3.102,5000,3.147,1000,3.15,2000,3.18,3000,3.334,3300,0.0,0
2020-11-06 09:39:08.320,3.022,1000.0,3.031,3.0271779999999997,3.02,3.031,3.02,100,3.016,100000,3.015,100000,3.0,1000,2.955,1100,2.885,100,2.851,200,2.728,1400,0.0,0,0.0,0,3.022,100000,3.023,100000,3.025,4700,3.04,10000,3.084,1000,3.089,200,3.102,5000,3.147,1000,3.15,2000,3.18,3000
2020-11-06 09:44:10.130,3.024,600.0,3.031,3.027109,3.027,3.031,3.023,100000,3.022,100000,3.02,400,3.0,1000,2.955,1100,2.885,100,2.851,200,2.728,1400,0.0,0,0.0,0,3.028,4700,3.029,100000,3.03,100000,3.031,100000,3.04,10000,3.084,1000,3.089,200,3.102,5000,3.147,1000,3.15,2000
2020-11-06 09:46:44.070,3.024,3700.0,3.031,3.02674,3.026,3.031,3.022,100000,3.021,100000,3.02,400,2.955,1100,2.885,100,2.851,200,2.728,1400,0.0,0,0.0,0,0.0,0,3.028,100000,3.029,100000,3.04,10000,3.084,1000,3.089,200,3.102,5000,3.147,1000,3.15,2000,3.18,3000,3.334,3300
2020-11-06 09:46:50.820,3.022,1300.0,3.031,3.026551,3.026,3.031,3.021,100000,3.02,100400,2.955,1100,2.885,100,2.851,200,2.728,1400,0.0,0,0.0,0,0.0,0,0.0,0,3.027,101000,3.028,100000,3.04,10000,3.084,1000,3.089,200,3.102,5000,3.147,1000,3.15,2000,3.18,3000,3.334,3300
