Datetime,Price,Volume
2020-09-30 09:36:05.190,2.922,20000
2020-09-30 09:37:06.640,2.926,4700
2020-09-30 09:37:56.720,2.927,2000
2020-09-30 09:38:48.950,2.931,1000
2020-09-30 09:40:27.630,2.931,100
2020-09-30 09:40:58.540,2.931,100
2020-09-30 09:46:58.670,2.931,5100
2020-09-30 09:46:58.670,2.931,2000
2020-09-30 09:46:58.670,2.931,2000
2020-09-30 09:46:58.670,2.931,3700
2020-09-30 09:47:23.740,2.932,4600
2020-09-30 10:00:01.780,2.93,300
2020-09-30 10:00:21.320,2.93,100
2020-09-30 10:08:21.910,2.929,500
2020-09-30 10:08:34.040,2.93,100
2020-09-30 10:08:34.040,2.93,2700
2020-09-30 10:10:04.380,2.931,200
2020-09-30 10:12:16.820,2.93,4400
2020-09-30 10:15:44.520,2.935,100
2020-09-30 10:15:58.590,2.935,2700
2020-09-30 10:16:08.050,2.935,8200
2020-09-30 10:16:08.050,2.935,4000
2020-09-30 10:21:44.520,2.937,600
2020-09-30 10:22:19.410,2.937,2400
2020-09-30 10:22:51.210,2.937,300
2020-09-30 10:25:07.880,2.937,7700
2020-09-30 10:29:12.880,2.936,1100
2020-09-30 10:38:13.090,2.936,1900
2020-09-30 10:38:13.090,2.936,200
2020-09-30 10:39:55.250,2.937,2800
2020-09-30 10:40:04.250,2.938,15600
2020-09-30 10:41:15.610,2.934,14300
2020-09-30 10:46:20.360,2.933,1500
2020-09-30 10:52:50.520,2.933,100
2020-09-30 11:00:12.410,2.933,400
2020-09-30 11:00:12.410,2.933,600
2020-09-30 11:15:45.290,2.932,6000
2020-09-30 13:01:51.050,2.93,3400
2020-09-30 13:01:51.050,2.93,400
2020-09-30 13:04:09.950,2.928,2300
2020-09-30 13:05:50.050,2.928,7700
2020-09-30 13:06:36.200,2.924,1000
2020-09-30 13:07:59.630,2.924,1000
2020-09-30 13:08:07.090,2.924,12200
2020-09-30 13:23:43.370,2.916,1600
2020-09-30 13:29:08.510,2.917,500
2020-09-30 13:29:47.400,2.916,3000
2020-09-30 13:30:46.850,2.905,100
2020-09-30 13:36:59.040,2.912,500
2020-09-30 13:41:04.750,2.915,100
2020-09-30 13:42:03.380,2.913,2100
2020-09-30 13:49:42.500,2.906,2000
2020-09-30 13:49:42.500,2.906,4600
2020-09-30 13:56:45.530,2.906,3000
2020-09-30 13:58:08.170,2.906,100
2020-09-30 14:01:29.620,2.9,1800
2020-09-30 14:01:29.620,2.9,100
2020-09-30 14:01:29.620,2.9,100
2020-09-30 14:03:07.710,2.9,10000
2020-09-30 14:05:04.650,2.903,100
2020-09-30 14:09:10.500,2.897,100
2020-09-30 14:09:49.380,2.896,200
2020-09-30 14:09:49.380,2.896,100
2020-09-30 14:10:01.910,2.895,3000
2020-09-30 14:10:01.910,2.895,10000
2020-09-30 14:10:01.910,2.895,100
2020-09-30 14:10:12.170,2.893,3600
2020-09-30 14:17:00.970,2.893,400
2020-09-30 14:17:00.970,2.893,300
2020-09-30 14:23:25.480,2.902,3000
2020-09-30 14:23:26.120,2.902,100
2020-09-30 14:24:26.190,2.903,300
2020-09-30 14:24:52.230,2.904,500
2020-09-30 14:28:10.730,2.904,15000
2020-09-30 14:28:48.980,2.904,5600
2020-09-30 14:28:56.000,2.91,1000
2020-09-30 14:30:00.540,2.911,100
2020-09-30 14:30:03.710,2.91,10000
2020-09-30 14:39:29.910,2.909,100
2020-09-30 14:40:44.160,2.91,100
