Datetime,Price,Volume
2020-11-04 09:30:11.870,5.026,200
2020-11-04 09:30:17.540,5.028,100
2020-11-04 09:35:39.520,5.024,100
2020-11-04 09:35:39.520,5.026,200
2020-11-04 09:47:15.130,5.02,400
2020-11-04 09:57:16.100,5.028,400
2020-11-04 09:58:58.850,5.028,1900
2020-11-04 10:00:49.640,5.028,200
2020-11-04 10:24:40.830,5.028,1500
2020-11-04 11:00:50.300,4.98,12038
2020-11-04 11:10:20.880,5.029,100
2020-11-04 11:10:20.880,5.029,200
2020-11-04 11:10:20.880,5.03,20000
2020-11-04 13:08:08.370,5.029,103700
