Datetime,Lastprice,Volume,Precloseprice,AvgPrice,Iopv,Netvalue,Bid[0],BidQty[0],Bid[1],BidQty[1],Bid[2],BidQty[2],Bid[3],BidQty[3],Bid[4],BidQty[4],Bid[5],BidQty[5],Bid[6],BidQty[6],Bid[7],BidQty[7],Bid[8],BidQty[8],Bid[9],BidQty[9],Ask[0],AskQty[0],Ask[1],AskQty[1],Ask[2],AskQty[2],Ask[3],AskQty[3],Ask[4],AskQty[4],Ask[5],AskQty[5],Ask[6],AskQty[6],Ask[7],AskQty[7],Ask[8],AskQty[8],Ask[9],AskQty[9]
2020-11-02 09:30:04.790,4.486,63600.0,4.977,4.510807,4.94,4.93,4.486,1700,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.13,500,5.165,2800,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2020-11-02 09:33:28.220,4.802,1200.0,4.977,4.516198999999999,4.94,4.93,4.802,10000,4.801,4000,4.8,1500,4.75,800,4.7,2000,4.65,2000,4.604,30000,4.6,2000,4.565,400,4.56,500,5.13,3800,5.165,2800,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2020-11-02 09:35:16.530,5.045,200.0,4.977,4.517826,4.948,4.93,4.818,8200,4.817,2000,4.815,1400,4.802,2500,4.801,5000,4.8,1500,4.75,800,4.7,2000,4.65,2000,4.604,30000,5.045,300,5.05,700,5.13,3300,5.165,2800,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2020-11-02 10:19:49.080,4.965,1300.0,4.977,4.526594,4.933,4.93,4.9,400,4.807,2000,4.802,2000,4.801,5000,4.75,800,4.7,2000,4.565,400,4.555,2000,4.521,2000,4.498,3000,4.965,800,4.97,97690,4.989,1300,5.04,700,5.045,5700,5.05,700,5.1,500,5.13,2300,5.265,17100,0.0,0
2020-11-02 10:19:57.570,4.965,300.0,4.977,4.528569,4.934,4.93,4.9,400,4.808,4000,4.807,2000,4.802,2000,4.801,5000,4.75,800,4.7,2000,4.565,400,4.555,2000,4.521,2000,4.965,500,4.989,1300,5.04,700,5.045,5700,5.05,700,5.1,500,5.13,2300,5.265,17100,0.0,0,0.0,0
2020-11-02 10:49:19.670,4.959,1300.0,4.977,4.53681,4.951,4.93,4.91,2000,4.895,15200,4.807,2000,4.802,2000,4.801,5000,4.75,800,4.565,400,4.555,2000,4.521,2000,4.498,3000,4.959,44300,4.96,300,4.964,97690,4.965,500,4.989,1000,5.04,700,5.045,5700,5.05,700,5.1,500,5.13,2300
