Datetime,Price,Volume
2020-11-02 09:25:00.470,2.933,100
2020-11-02 09:25:00.470,2.933,25000
2020-11-02 09:25:00.470,2.933,100
2020-11-02 09:25:00.470,2.933,12500
2020-11-02 09:25:00.470,2.933,24600
2020-11-02 09:30:00.380,2.933,13000
2020-11-02 09:33:03.230,3.005,1000
2020-11-02 09:33:05.730,3.005,1800
2020-11-02 09:33:05.790,3.005,200
2020-11-02 09:33:13.010,3.005,198900
2020-11-02 09:35:00.970,2.968,300
2020-11-02 09:35:04.120,2.968,200
2020-11-02 09:36:10.730,2.964,1000
2020-11-02 09:40:17.010,2.959,6700
2020-11-02 09:40:17.490,2.959,6800
2020-11-02 09:40:17.710,2.959,12600
2020-11-02 09:40:17.800,2.959,12600
2020-11-02 09:40:19.720,2.959,12500
2020-11-02 09:40:19.810,2.959,12500
2020-11-02 09:40:21.230,2.959,6300
2020-11-02 09:40:21.320,2.959,6300
2020-11-02 09:40:22.870,2.959,6200
2020-11-02 09:40:22.870,2.959,6200
2020-11-02 09:40:24.410,2.959,3000
2020-11-02 09:40:24.470,2.959,3000
2020-11-02 09:40:26.060,2.959,3100
2020-11-02 09:40:26.060,2.959,3100
2020-11-02 09:40:27.610,2.959,200
2020-11-02 09:40:27.610,2.964,500
2020-11-02 09:40:27.740,2.964,700
2020-11-02 09:45:54.880,2.953,100000
2020-11-02 09:45:55.250,2.953,100000
2020-11-02 09:45:56.730,2.953,12300
2020-11-02 09:45:56.770,2.953,12300
2020-11-02 09:45:58.660,2.953,12300
2020-11-02 09:45:58.750,2.953,12300
2020-11-02 09:46:00.080,2.953,7900
2020-11-02 09:46:00.110,2.953,42400
2020-11-02 09:46:00.170,2.964,3600
2020-11-02 09:46:19.490,2.968,4300
2020-11-02 09:46:21.430,2.968,7800
2020-11-02 09:52:40.450,2.967,300
2020-11-02 09:53:39.790,2.953,700
2020-11-02 10:00:08.010,2.966,300
2020-11-02 10:00:20.040,2.966,600
2020-11-02 10:02:57.220,2.965,1000
2020-11-02 10:03:34.630,2.962,1000
2020-11-02 10:18:23.730,2.95,2000
2020-11-02 10:19:10.060,2.946,500
2020-11-02 10:20:19.500,2.942,5800
2020-11-02 10:21:46.260,2.935,1000
2020-11-02 10:21:46.260,2.935,200
2020-11-02 10:21:49.600,2.941,200
2020-11-02 10:24:27.520,2.942,200
2020-11-02 10:30:08.020,2.956,2000
2020-11-02 10:30:20.150,2.954,3300
2020-11-02 10:45:35.780,2.937,200
2020-11-02 11:08:03.800,2.943,500
2020-11-02 11:23:52.010,2.952,3000
2020-11-02 11:28:38.320,2.949,300
2020-11-02 13:05:28.850,2.944,100
2020-11-02 13:13:54.040,2.944,100
2020-11-02 13:16:43.770,2.944,100
2020-11-02 13:16:45.840,2.944,100
2020-11-02 13:29:31.300,2.94,400
2020-11-02 13:29:59.560,2.939,1000
2020-11-02 13:30:06.370,2.937,200
2020-11-02 13:30:21.240,2.935,4800
2020-11-02 13:30:21.240,2.935,3000
2020-11-02 13:30:38.270,2.933,1000
2020-11-02 13:30:38.270,2.933,5000
2020-11-02 13:30:58.260,2.933,1000
2020-11-02 13:31:45.840,2.936,200
2020-11-02 13:32:19.090,2.932,300
2020-11-02 13:33:24.200,2.938,5000
2020-11-02 13:55:43.360,2.952,1200
2020-11-02 14:00:04.390,2.953,1000
2020-11-02 14:00:07.470,2.952,800
2020-11-02 14:04:11.210,2.94,400
2020-11-02 14:05:43.260,2.94,800
2020-11-02 14:06:01.680,2.94,500
2020-11-02 14:06:43.220,2.94,400
2020-11-02 14:13:21.600,2.952,1000
2020-11-02 14:14:34.800,2.94,100
2020-11-02 14:14:40.110,2.94,7900
2020-11-02 14:16:43.810,2.94,5000
2020-11-02 14:21:00.350,2.94,3300
2020-11-02 14:25:43.850,2.94,2000
2020-11-02 14:30:32.140,2.94,200
2020-11-02 14:30:54.980,2.94,200
2020-11-02 14:36:43.630,2.94,300
2020-11-02 14:36:43.630,2.94,1000
2020-11-02 14:37:35.270,2.938,3200
2020-11-02 14:37:35.270,2.938,6000
2020-11-02 14:37:35.270,2.938,100
2020-11-02 14:37:35.270,2.938,200
2020-11-02 14:53:38.180,2.937,2800
2020-11-02 14:55:09.050,2.937,10000
2020-11-02 14:56:02.990,2.937,3000
2020-11-02 14:56:20.670,2.937,800
2020-11-02 14:57:01.650,2.937,1700
