ExChangeId,ChannelNo,SeqNo,SecurityID,Trade2_Order1,TradeDate,UpdateTime,Price,Volume,TrdMoney,OrdSide,OrdType,TrdBSFlag,TrdBuyNo,TrdSellNo
1,1,19921,510100,2,20200824,92500970,1.240000,100,124.000000,-,-,N,122017,70570
1,1,19922,510100,2,20200824,92500970,1.240000,100,124.000000,-,-,N,130701,70570
1,1,19923,510100,2,20200824,92500970,1.240000,100,124.000000,-,-,N,168629,70570
1,1,19924,510100,2,20200824,92500970,1.240000,10000,12400.000000,-,-,N,171665,70570
1,1,22154,510100,2,20200824,93000440,1.240000,800,992.000000,-,-,B,185062,70570
1,1,22155,510100,2,20200824,93000440,1.242000,200,248.400000,-,-,B,185062,9280
1,1,22156,510100,2,20200824,93000440,1.243000,100,124.300000,-,-,B,185062,122018
1,1,30271,510100,2,20200824,93002120,1.248000,1000,1248.000000,-,-,B,210574,11192
1,1,50009,510100,2,20200824,93009010,1.252000,300,375.600000,-,-,B,274055,265228
1,1,70553,510100,2,20200824,93030460,1.248000,180000,224640.000000,-,-,S,242057,314384
1,1,73664,510100,2,20200824,93033430,1.248000,61500,76752.000000,-,-,B,319410,314384
1,1,101589,510100,2,20200824,93105870,1.250000,500,625.000000,-,-,B,364842,355345
1,1,103333,510100,2,20200824,93107270,1.250000,101600,127000.000000,-,-,S,364842,367604
1,1,118987,510100,2,20200824,93122350,1.249000,6400,7993.600000,-,-,B,391860,386136
1,1,142876,510100,2,20200824,93152630,1.248000,6400,7987.200000,-,-,S,392402,432516
1,1,158676,510100,2,20200824,93214580,1.246000,180000,224280.000000,-,-,S,432708,459921
1,1,268020,510100,2,20200824,93455010,1.247000,10000,12470.000000,-,-,B,642548,482769
1,1,268021,510100,2,20200824,93455010,1.247000,2600,3242.200000,-,-,B,642548,564384
1,1,279034,510100,2,20200824,93512960,1.248000,10000,12480.000000,-,-,B,662740,463909
1,1,298881,510100,2,20200824,93546340,1.249000,10000,12490.000000,-,-,B,698266,425165
1,1,325856,510100,2,20200824,93621350,1.249000,500,624.500000,-,-,B,739727,715718
1,1,325857,510100,2,20200824,93621350,1.249000,500,624.500000,-,-,B,739727,726433
1,1,337011,510100,2,20200824,93636590,1.249000,100,124.900000,-,-,B,757498,726433
1,1,342446,510100,2,20200824,93644350,1.249000,1300,1623.700000,-,-,S,757498,766368
1,1,343414,510100,2,20200824,93645400,1.249000,200,249.800000,-,-,S,757498,767656
1,1,362447,510100,2,20200824,93711660,1.249000,400,499.600000,-,-,S,757498,796016
1,1,369961,510100,2,20200824,93722430,1.248000,400,499.200000,-,-,S,796863,808069
1,1,374403,510100,2,20200824,93729700,1.249000,300,374.700000,-,-,B,815293,801525
1,1,381976,510100,2,20200824,93741750,1.248000,1300,1622.400000,-,-,B,827674,824026
1,1,394860,510100,2,20200824,93801270,1.246000,30000,37380.000000,-,-,S,543173,848244
1,1,409515,510100,2,20200824,93820410,1.246000,3900,4859.400000,-,-,S,862392,869023
1,1,433818,510100,2,20200824,93855690,1.243000,500,621.500000,-,-,S,270618,907677
1,1,433819,510100,2,20200824,93855690,1.243000,200,248.600000,-,-,S,510323,907677
1,1,433820,510100,2,20200824,93855690,1.243000,200000,248600.000000,-,-,S,900437,907677
1,1,434586,510100,2,20200824,93856960,1.243000,180000,223740.000000,-,-,B,908986,907677
1,1,443676,510100,2,20200824,93913280,1.244000,200000,248800.000000,-,-,B,925418,908347
1,1,464417,510100,2,20200824,93953290,1.245000,30000,37350.000000,-,-,B,961898,958166
1,1,468888,510100,2,20200824,94000250,1.245000,300,373.500000,-,-,S,965203,969050
1,1,481228,510100,2,20200824,94018730,1.246000,10000,12460.000000,-,-,B,988888,974045
1,1,481229,510100,2,20200824,94018730,1.246000,180000,224280.000000,-,-,B,988888,982028
1,1,481230,510100,2,20200824,94018730,1.246000,200000,249200.000000,-,-,B,988888,982753
1,1,484142,510100,2,20200824,94022910,1.246000,180000,224280.000000,-,-,B,993515,989798
1,1,490534,510100,2,20200824,94030530,1.246000,2700,3364.200000,-,-,B,1003603,1000318
1,1,490869,510100,2,20200824,94031020,1.245000,12300,15313.500000,-,-,S,989393,1004272
1,1,496058,510100,2,20200824,94038650,1.246000,26000,32396.000000,-,-,S,1006278,1013106
1,1,506635,510100,2,20200824,94055440,1.247000,80400,100258.800000,-,-,B,1031917,876014
1,1,506636,510100,2,20200824,94055440,1.247000,50000,62350.000000,-,-,B,1031917,1016688
1,1,537647,510100,2,20200824,94158040,1.248000,500,624.000000,-,-,B,1090517,825920
1,1,540791,510100,2,20200824,94205400,1.248000,200,249.600000,-,-,B,1096645,825920
1,1,556320,510100,2,20200824,94240410,1.246000,10000,12460.000000,-,-,S,1007398,1124417
1,1,556323,510100,2,20200824,94240440,1.247000,20000,24940.000000,-,-,B,1124433,1124328
1,1,556324,510100,2,20200824,94240440,1.248000,22300,27830.400000,-,-,B,1124433,825920
1,1,556325,510100,2,20200824,94240440,1.248000,10000,12480.000000,-,-,B,1124433,1054793
1,1,556326,510100,2,20200824,94240440,1.248000,80400,100339.200000,-,-,B,1124433,1062621
1,1,556327,510100,2,20200824,94240440,1.248000,100,124.800000,-,-,B,1124433,1108918
1,1,556328,510100,2,20200824,94240440,1.248000,20000,24960.000000,-,-,B,1124433,1111302
1,1,556329,510100,2,20200824,94240440,1.248000,26600,33196.800000,-,-,B,1124433,1123615
1,1,559165,510100,2,20200824,94245970,1.248000,7000,8736.000000,-,-,S,1129012,1129626
1,1,559336,510100,2,20200824,94246440,1.248000,7000,8736.000000,-,-,S,1129012,1129967
1,1,559631,510100,2,20200824,94246950,1.248000,6300,7862.400000,-,-,S,1129012,1130396
1,1,559828,510100,2,20200824,94247460,1.248000,6300,7862.400000,-,-,S,1129012,1130771
1,1,560028,510100,2,20200824,94247950,1.247000,6300,7856.100000,-,-,S,1124547,1131179
1,1,564771,510100,2,20200824,94256950,1.249000,10000,12490.000000,-,-,B,1138984,820972
1,1,564772,510100,2,20200824,94256950,1.249000,35000,43715.000000,-,-,B,1138984,827322
1,1,587652,510100,2,20200824,94343980,1.248000,2600,3244.800000,-,-,B,1178465,1174528
1,1,641490,510100,2,20200824,94541920,1.248000,14000,17472.000000,-,-,B,1268576,1253821
1,1,683045,510100,2,20200824,94656950,1.248000,500,624.000000,-,-,S,1330515,1334281
1,1,694638,510100,2,20200824,94719940,1.249000,46700,58328.300000,-,-,B,1351733,1167653
1,1,694639,510100,2,20200824,94719940,1.249000,10000,12490.000000,-,-,B,1351733,1203515
1,1,694640,510100,2,20200824,94719940,1.249000,7600,9492.400000,-,-,B,1351733,1219428
1,1,763904,510100,2,20200824,94943860,1.246000,100,124.600000,-,-,S,1299115,1458942
1,1,772058,510100,2,20200824,94958750,1.245000,187700,233686.500000,-,-,S,989393,1470523
1,1,836709,510100,2,20200824,95206840,1.245000,16200,20169.000000,-,-,S,1573262,1575597
1,1,903790,510100,2,20200824,95457920,1.246000,10000,12460.000000,-,-,B,1688510,1544807
1,1,903791,510100,2,20200824,95457920,1.246000,10000,12460.000000,-,-,B,1688510,1629211
1,1,928659,510100,2,20200824,95600600,1.248000,500,624.000000,-,-,B,1728729,1552548
1,1,946727,510100,2,20200824,95656840,1.247000,4200,5237.400000,-,-,S,1708066,1761492
1,1,973948,510100,2,20200824,95828440,1.249000,800,999.200000,-,-,B,1810767,1398247
1,1,973949,510100,2,20200824,95828440,1.249000,45000,56205.000000,-,-,B,1810767,1512417
1,1,973950,510100,2,20200824,95828440,1.249000,32100,40092.900000,-,-,B,1810767,1591690
1,1,977641,510100,2,20200824,95840930,1.250000,10000,12500.000000,-,-,B,1817060,445549
1,1,977642,510100,2,20200824,95840930,1.250000,20000,25000.000000,-,-,B,1817060,538089
1,1,977643,510100,2,20200824,95840930,1.250000,5000,6250.000000,-,-,B,1817060,618766
1,1,977644,510100,2,20200824,95840930,1.250000,10000,12500.000000,-,-,B,1817060,684020
1,1,977645,510100,2,20200824,95840930,1.250000,100,125.000000,-,-,B,1817060,1111853
1,1,977646,510100,2,20200824,95840930,1.250000,10000,12500.000000,-,-,B,1817060,1165640
1,1,977647,510100,2,20200824,95840930,1.250000,5000,6250.000000,-,-,B,1817060,1325639
1,1,977648,510100,2,20200824,95840930,1.250000,50000,62500.000000,-,-,B,1817060,1814946
1,1,979348,510100,2,20200824,95847350,1.250000,8000,10000.000000,-,-,S,1819304,1820229
1,1,990579,510100,2,20200824,95926450,1.250000,23900,29875.000000,-,-,S,1838306,1839628
1,1,990580,510100,2,20200824,95926450,1.250000,2300,2875.000000,-,-,S,1839618,1839628
1,1,991864,510100,2,20200824,95930430,1.250000,10000,12500.000000,-,-,B,1841616,1839628
1,1,1036917,510100,2,20200824,100146470,1.248000,180000,224640.000000,-,-,S,1870259,1916259
1,1,1071659,510100,2,20200824,100347500,1.249000,800,999.200000,-,-,B,1977969,1970727
1,1,1077053,510100,2,20200824,100407000,1.250000,2900,3625.000000,-,-,B,1988056,1909532
1,1,1077999,510100,2,20200824,100409980,1.250000,800,1000.000000,-,-,S,1988056,1989738
1,1,1078006,510100,2,20200824,100410070,1.250000,2400,3000.000000,-,-,S,1988056,1989763
1,1,1084709,510100,2,20200824,100432940,1.250000,24700,30875.000000,-,-,S,1988056,2001158
1,1,1094091,510100,2,20200824,100505490,1.250000,2400,3000.000000,-,-,S,2016423,2017750
1,1,1132360,510100,2,20200824,100746580,1.247000,500,623.500000,-,-,S,1708066,2086327
1,1,1132361,510100,2,20200824,100746580,1.247000,4500,5611.500000,-,-,S,1944468,2086327
1,1,1135349,510100,2,20200824,100800350,1.249000,200,249.800000,-,-,B,2091574,2083686
1,1,1144409,510100,2,20200824,100836470,1.247000,5800,7232.600000,-,-,B,2105826,2105397
1,1,1160794,510100,2,20200824,100953910,1.248000,400,499.200000,-,-,B,2135630,2135090
1,1,1211178,510100,2,20200824,101254230,1.248000,45400,56659.200000,-,-,S,2210968,2219471
1,1,1223297,510100,2,20200824,101348430,1.250000,10000,12500.000000,-,-,B,2241382,2081003
1,1,1223298,510100,2,20200824,101348430,1.250000,62100,77625.000000,-,-,B,2241382,2100640
1,1,1224915,510100,2,20200824,101353430,1.251000,6100,7631.100000,-,-,B,2243649,339075
1,1,1224916,510100,2,20200824,101353430,1.251000,10000,12510.000000,-,-,B,2243649,399292
1,1,1224917,510100,2,20200824,101353430,1.251000,50000,62550.000000,-,-,B,2243649,589683
1,1,1235684,510100,2,20200824,101433540,1.251000,5000,6255.000000,-,-,S,2261776,2261815
1,1,1247537,510100,2,20200824,101516440,1.252000,4000,5008.000000,-,-,B,2280426,296941
1,1,1248245,510100,2,20200824,101519450,1.252000,6000,7512.000000,-,-,B,2281700,296941
1,1,1248246,510100,2,20200824,101519450,1.252000,100,125.200000,-,-,B,2281700,301244
1,1,1248247,510100,2,20200824,101519450,1.252000,100,125.200000,-,-,B,2281700,560336
1,1,1248248,510100,2,20200824,101519450,1.252000,10000,12520.000000,-,-,B,2281700,808113
1,1,1248249,510100,2,20200824,101519450,1.252000,800,1001.600000,-,-,B,2281700,1282363
1,1,1275799,510100,2,20200824,101709450,1.251000,20100,25145.100000,-,-,S,2316066,2330333
1,1,1284269,510100,2,20200824,101749290,1.253000,10000,12530.000000,-,-,B,2345798,731550
1,1,1284270,510100,2,20200824,101749290,1.253000,5000,6265.000000,-,-,B,2345798,2296707
1,1,1284271,510100,2,20200824,101749290,1.253000,1900,2380.700000,-,-,B,2345798,2304877
1,1,1289628,510100,2,20200824,101809430,1.254000,10000,12540.000000,-,-,B,2354538,714600
1,1,1303615,510100,2,20200824,101911270,1.255000,500,627.500000,-,-,B,2378657,1281423
1,1,1323328,510100,2,20200824,102035140,1.254000,180000,225720.000000,-,-,B,2413001,2398158
1,1,1323329,510100,2,20200824,102035140,1.254000,500,627.000000,-,-,B,2413001,2410591
1,1,1326147,510100,2,20200824,102046620,1.253000,10000,12530.000000,-,-,S,2411331,2417834
1,1,1348624,510100,2,20200824,102225050,1.253000,564800,707694.400000,-,-,S,2431440,2457341
1,1,1349999,510100,2,20200824,102229470,1.253000,235200,294705.600000,-,-,S,2431440,2459538
1,1,1360127,510100,2,20200824,102307760,1.252000,40300,50455.600000,-,-,S,2470959,2476847
1,1,1370081,510100,2,20200824,102359820,1.252000,3600,4507.200000,-,-,S,2492254,2495095
1,1,1380279,510100,2,20200824,102500470,1.253000,200,250.600000,-,-,B,2513945,2473843
1,1,1380280,510100,2,20200824,102500470,1.253000,25800,32327.400000,-,-,B,2513945,2475719
1,1,1393551,510100,2,20200824,102620060,1.254000,500,627.000000,-,-,B,2538332,2499878
1,1,1395161,510100,2,20200824,102630410,1.252000,500,626.000000,-,-,S,2522472,2541411
1,1,1399402,510100,2,20200824,102700110,1.252000,22400,28044.800000,-,-,S,2543936,2549373
1,1,1400531,510100,2,20200824,102706600,1.252000,300,375.600000,-,-,S,2547067,2551377
1,1,1409045,510100,2,20200824,102742160,1.254000,9500,11913.000000,-,-,B,2564356,2499878
1,1,1409046,510100,2,20200824,102742160,1.254000,10500,13167.000000,-,-,B,2564356,2536686
1,1,1439629,510100,2,20200824,103035500,1.254000,2100,2633.400000,-,-,B,2619421,2536686
1,1,1439630,510100,2,20200824,103035500,1.254000,5000,6270.000000,-,-,B,2619421,2601588
1,1,1442570,510100,2,20200824,103044620,1.253000,1800,2255.400000,-,-,S,2622885,2624159
1,1,1445928,510100,2,20200824,103057100,1.253000,4300,5387.900000,-,-,S,2622885,2629388
1,1,1447935,510100,2,20200824,103104450,1.253000,3800,4761.400000,-,-,S,2622885,2632426
1,1,1448167,510100,2,20200824,103105600,1.253000,1000,1253.000000,-,-,S,2622885,2632783
1,1,1450969,510100,2,20200824,103118540,1.253000,100,125.300000,-,-,S,2637478,2637748
1,1,1458431,510100,2,20200824,103155540,1.253000,65300,81820.900000,-,-,B,2650755,2647757
1,1,1530338,510100,2,20200824,103800630,1.252000,200,250.400000,-,-,S,2547067,2770150
1,1,1532743,510100,2,20200824,103809030,1.252000,574800,719649.600000,-,-,S,2547067,2773383
1,1,1533446,510100,2,20200824,103811470,1.252000,224700,281324.400000,-,-,S,2547067,2774292
1,1,1533447,510100,2,20200824,103811470,1.252000,100,125.200000,-,-,S,2626204,2774292
1,1,1542873,510100,2,20200824,103848480,1.251000,37600,47037.600000,-,-,S,2780320,2786659
1,1,1549189,510100,2,20200824,103923910,1.250000,500,625.000000,-,-,S,2520063,2798237
1,1,1549190,510100,2,20200824,103923910,1.250000,12000,15000.000000,-,-,S,2769608,2798237
1,1,1599894,510100,2,20200824,104336500,1.253000,1000,1253.000000,-,-,B,2884011,2881025
1,1,1606927,510100,2,20200824,104420260,1.252000,25100,31425.200000,-,-,S,2847701,2896314
1,1,1614592,510100,2,20200824,104507430,1.253000,30000,37590.000000,-,-,B,2909938,2900529
1,1,1617445,510100,2,20200824,104521830,1.253000,5000,6265.000000,-,-,S,2910847,2914556
1,1,1627291,510100,2,20200824,104609490,1.253000,2300,2881.900000,-,-,S,2910847,2929468
1,1,1641226,510100,2,20200824,104727700,1.252000,1000,1252.000000,-,-,S,2914243,2953129
1,1,1641227,510100,2,20200824,104727700,1.251000,8500,10633.500000,-,-,S,2949135,2953129
1,1,1659442,510100,2,20200824,104912300,1.250000,1000,1250.000000,-,-,S,2808957,2983154
1,1,1659443,510100,2,20200824,104912300,1.250000,3000,3750.000000,-,-,S,2900014,2983154
1,1,1659444,510100,2,20200824,104912300,1.250000,4000,5000.000000,-,-,S,2973092,2983154
1,1,1668469,510100,2,20200824,104958720,1.252000,72800,91145.600000,-,-,B,2997376,2980078
1,1,1689460,510100,2,20200824,105125320,1.250000,8000,10000.000000,-,-,B,3029670,3019900
1,1,1694817,510100,2,20200824,105153990,1.249000,200000,249800.000000,-,-,B,3038979,3038803
1,1,1700360,510100,2,20200824,105221680,1.249000,3000,3747.000000,-,-,S,3047574,3048096
1,1,1708918,510100,2,20200824,105305320,1.249000,200000,249800.000000,-,-,S,3047574,3062970
1,1,1722317,510100,2,20200824,105432810,1.249000,1200,1498.800000,-,-,S,3085050,3086528
1,1,1722474,510100,2,20200824,105433450,1.249000,190800,238309.200000,-,-,B,3086744,3086528
1,1,1725091,510100,2,20200824,105450510,1.250000,5000,6250.000000,-,-,B,3091152,3031089
1,1,1725092,510100,2,20200824,105450510,1.250000,100000,125000.000000,-,-,B,3091152,3069221
1,1,1728441,510100,2,20200824,105515420,1.249000,100000,124900.000000,-,-,S,3094436,3097362
1,1,1729831,510100,2,20200824,105524380,1.249000,100,124.900000,-,-,S,3094436,3099646
1,1,1733187,510100,2,20200824,105547820,1.249000,100000,124900.000000,-,-,S,3094436,3105521
1,1,1750471,510100,2,20200824,105748930,1.250000,400,500.000000,-,-,S,3134648,3134956
1,1,1769124,510100,2,20200824,105946980,1.248000,32000,39936.000000,-,-,S,2220678,3164491
1,1,1775339,510100,2,20200824,110010260,1.247000,100,124.700000,-,-,S,2180220,3172795
1,1,1782134,510100,2,20200824,110024490,1.246000,2300,2865.800000,-,-,S,2814997,3180316
1,1,1782135,510100,2,20200824,110024490,1.246000,1000,1246.000000,-,-,S,2922003,3180316
1,1,1782136,510100,2,20200824,110024490,1.246000,500,623.000000,-,-,S,3178385,3180316
1,1,1793702,510100,2,20200824,110103990,1.245000,800,996.000000,-,-,S,3189616,3195953
1,1,1793793,510100,2,20200824,110104480,1.245000,34200,42579.000000,-,-,B,3196167,3195953
1,1,1803311,510100,2,20200824,110142850,1.247000,800,997.600000,-,-,B,3210869,3210672
1,1,1875160,510100,2,20200824,110932040,1.248000,80400,100339.200000,-,-,S,3335099,3337223
1,1,1875161,510100,2,20200824,110932040,1.248000,100,124.800000,-,-,S,3335758,3337223
1,1,1919707,510100,2,20200824,111413740,1.248000,1000,1248.000000,-,-,B,3411668,3410241
1,1,1939721,510100,2,20200824,111633150,1.248000,500,624.000000,-,-,B,3445718,3410374
1,1,1939722,510100,2,20200824,111633150,1.248000,8200,10233.600000,-,-,B,3445718,3433909
