Datetime,Price,Volume
2020-10-16 09:38:11.730,1.325,42400
2020-10-16 09:38:25.290,1.325,200000
2020-10-16 09:48:58.310,1.326,7500
2020-10-16 09:49:36.610,1.326,4100
2020-10-16 09:49:49.050,1.325,200000
2020-10-16 09:50:06.280,1.325,200000
2020-10-16 09:51:16.170,1.325,100
2020-10-16 09:51:46.470,1.325,145000
2020-10-16 09:53:05.790,1.324,11300
2020-10-16 09:53:06.250,1.324,11300
2020-10-16 09:53:06.850,1.324,11300
2020-10-16 09:53:07.260,1.324,11300
2020-10-16 09:53:07.670,1.324,11300
2020-10-16 09:53:08.080,1.324,11300
2020-10-16 09:53:08.320,1.324,11300
2020-10-16 09:53:08.670,1.324,11300
2020-10-16 09:53:09.020,1.324,11300
2020-10-16 09:53:09.370,1.324,11300
2020-10-16 09:53:10.380,1.324,200000
2020-10-16 09:53:47.130,1.324,6200
2020-10-16 09:53:51.890,1.324,5600
2020-10-16 09:53:52.200,1.324,5600
2020-10-16 09:53:52.620,1.324,5600
2020-10-16 09:53:53.090,1.324,5600
2020-10-16 09:53:53.600,1.324,3500
2020-10-16 09:53:56.370,1.325,200
2020-10-16 09:53:57.580,1.324,3000
2020-10-16 09:53:58.020,1.324,3000
2020-10-16 09:53:58.410,1.324,3000
2020-10-16 09:53:58.720,1.324,3000
2020-10-16 09:53:59.080,1.324,3000
2020-10-16 09:53:59.380,1.324,3000
2020-10-16 09:53:59.740,1.324,3000
2020-10-16 09:54:00.060,1.324,3000
2020-10-16 09:54:00.450,1.324,3000
2020-10-16 09:54:01.690,1.324,3100
2020-10-16 09:54:37.930,1.322,11300
2020-10-16 09:54:38.140,1.322,11300
2020-10-16 09:54:38.420,1.322,11300
2020-10-16 09:54:38.770,1.322,11300
2020-10-16 09:54:39.230,1.322,11300
2020-10-16 09:58:08.800,1.322,9300
2020-10-16 09:59:37.100,1.323,8000
2020-10-16 10:00:59.510,1.322,11300
2020-10-16 10:00:59.880,1.322,11300
2020-10-16 10:01:00.320,1.322,11300
2020-10-16 10:01:00.740,1.322,11300
2020-10-16 10:01:01.210,1.322,11300
2020-10-16 10:01:01.580,1.322,11300
2020-10-16 10:01:01.890,1.322,11300
2020-10-16 10:01:02.280,1.322,11300
2020-10-16 10:01:02.680,1.322,11300
2020-10-16 10:01:03.060,1.322,10900
2020-10-16 10:01:29.620,1.322,8900
2020-10-16 10:01:29.910,1.322,8000
2020-10-16 10:01:30.250,1.322,8000
2020-10-16 10:01:30.790,1.322,8000
2020-10-16 10:01:31.270,1.322,2000
2020-10-16 10:01:31.270,1.321,6000
2020-10-16 10:07:51.850,1.321,200000
2020-10-16 10:07:52.780,1.321,200000
2020-10-16 10:08:40.520,1.322,50000
2020-10-16 10:08:46.460,1.321,11300
2020-10-16 10:08:46.740,1.321,11300
2020-10-16 10:08:46.980,1.321,11300
2020-10-16 10:08:47.340,1.321,11300
2020-10-16 10:08:47.650,1.321,11300
2020-10-16 10:08:47.960,1.321,11300
2020-10-16 10:08:48.430,1.321,11300
2020-10-16 10:08:48.780,1.321,11300
2020-10-16 10:08:49.210,1.321,11300
2020-10-16 10:08:49.560,1.321,11300
2020-10-16 10:08:49.920,1.321,6500
2020-10-16 10:08:50.270,1.321,6500
2020-10-16 10:08:50.670,1.321,6500
2020-10-16 10:08:51.020,1.321,6500
2020-10-16 10:08:51.370,1.321,2200
2020-10-16 10:08:51.370,1.321,4300
2020-10-16 10:08:51.790,1.321,6500
2020-10-16 10:08:52.120,1.321,6500
2020-10-16 10:08:52.480,1.321,6500
2020-10-16 10:08:52.790,1.321,800
2020-10-16 10:08:53.090,1.321,800
2020-10-16 10:08:53.360,1.321,600
2020-10-16 10:08:53.360,1.32,200
2020-10-16 10:17:26.200,1.321,5800
2020-10-16 10:20:32.760,1.321,2000
2020-10-16 10:20:32.760,1.321,800
2020-10-16 10:21:25.010,1.321,800
2020-10-16 10:25:12.940,1.322,900
2020-10-16 10:25:13.300,1.322,900
2020-10-16 10:25:13.650,1.322,800
2020-10-16 10:25:13.940,1.322,800
2020-10-16 10:25:14.300,1.322,800
2020-10-16 10:25:14.730,1.322,800
2020-10-16 10:25:15.010,1.322,800
2020-10-16 10:25:15.310,1.322,800
2020-10-16 10:25:15.720,1.322,800
2020-10-16 10:25:16.190,1.322,800
2020-10-16 10:25:16.460,1.322,800
2020-10-16 10:28:29.550,1.321,500
2020-10-16 10:28:29.550,1.321,400
2020-10-16 10:28:29.550,1.321,3300
2020-10-16 10:28:29.850,1.321,4200
2020-10-16 10:28:30.270,1.321,3800
2020-10-16 10:28:30.670,1.321,3800
2020-10-16 10:28:31.120,1.321,3800
2020-10-16 10:28:31.460,1.321,3800
2020-10-16 10:28:31.860,1.321,3800
2020-10-16 10:28:32.220,1.321,3800
2020-10-16 10:28:32.590,1.321,3800
2020-10-16 10:28:32.930,1.321,3800
2020-10-16 10:30:20.190,1.321,11300
2020-10-16 10:30:20.640,1.321,11300
2020-10-16 10:30:21.030,1.321,11300
2020-10-16 10:30:21.560,1.321,11300
2020-10-16 10:30:22.030,1.321,11300
2020-10-16 10:30:22.530,1.321,11300
2020-10-16 10:30:29.960,1.321,11300
2020-10-16 10:30:30.290,1.321,11300
2020-10-16 10:30:30.660,1.321,11300
2020-10-16 10:30:30.980,1.321,11300
2020-10-16 10:30:37.310,1.321,200000
2020-10-16 10:30:38.000,1.321,28900
2020-10-16 10:31:06.420,1.321,171100
2020-10-16 10:31:12.000,1.321,5100
2020-10-16 10:31:12.360,1.321,5100
2020-10-16 10:31:12.820,1.321,5100
2020-10-16 10:35:29.750,1.321,11300
2020-10-16 10:35:30.160,1.321,11300
2020-10-16 10:35:30.590,1.321,11300
2020-10-16 10:35:30.970,1.321,11300
2020-10-16 10:35:31.440,1.321,11300
2020-10-16 10:35:31.910,1.321,11300
2020-10-16 10:35:32.250,1.321,11300
2020-10-16 10:35:32.550,1.321,11300
2020-10-16 10:35:32.950,1.321,11300
2020-10-16 10:35:33.350,1.321,11300
2020-10-16 10:35:42.570,1.321,600
2020-10-16 10:35:42.570,1.321,10700
2020-10-16 10:35:42.900,1.321,11300
2020-10-16 10:35:43.190,1.321,11300
2020-10-16 10:35:43.550,1.321,11300
2020-10-16 10:35:43.980,1.321,11300
2020-10-16 10:35:44.350,1.321,11300
2020-10-16 10:35:44.750,1.321,11300
2020-10-16 10:35:45.120,1.321,11300
2020-10-16 10:35:45.470,1.321,2900
2020-10-16 10:36:52.230,1.321,1000
2020-10-16 10:40:14.460,1.322,1000
2020-10-16 10:43:31.450,1.324,1000
2020-10-16 10:49:40.360,1.325,1100
2020-10-16 10:49:40.360,1.325,2300
2020-10-16 10:49:40.360,1.325,196600
2020-10-16 10:49:41.310,1.325,3400
2020-10-16 10:50:07.450,1.326,8400
2020-10-16 10:51:40.170,1.326,10000
2020-10-16 10:52:36.490,1.325,200000
2020-10-16 10:52:38.810,1.325,200000
2020-10-16 10:57:51.920,1.324,200000
2020-10-16 10:58:31.860,1.324,4700
2020-10-16 10:58:58.190,1.324,200000
